Rackspace Technology PE Ratio Historical Data,Rackspace Technology PE Ratio Historical Data,Rackspace Technology PE Ratio Historical Data,Rackspace Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.87,,0.0
2024-09-30,2.45,$-3.49,0.0
2024-06-30,2.98,$-3.72,0.0
2024-03-31,1.58,$-3.96,0.0
2023-12-31,2.0,$-3.92,0.0
2023-09-30,2.35,$-5.06,0.0
2023-06-30,2.72,$-6.44,0.0
2023-03-31,1.88,$-6.50,0.0
2022-12-31,2.95,$-3.81,0.0
2022-09-30,4.08,$-3.19,0.0
2022-06-30,7.17,$-0.93,0.0
2022-03-31,11.16,$-0.92,0.0
2021-12-31,13.47,$-1.05,0.0
2021-09-30,14.22,$-0.98,0.0
2021-06-30,19.61,$-1.35,0.0
