Heartland Financial USA PE Ratio Historical Data,Heartland Financial USA PE Ratio Historical Data,Heartland Financial USA PE Ratio Historical Data,Heartland Financial USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,62.31,,34.81
2024-09-30,56.45,$1.79,31.54
2024-06-30,43.99,$1.43,30.76
2024-03-31,34.55,$1.66,20.82
2023-12-31,36.64,$1.69,21.68
2023-09-30,28.37,$4.75,5.97
2023-06-30,26.62,$4.95,5.38
2023-03-31,36.23,$5.01,7.23
2022-12-31,43.77,$4.94,8.86
2022-09-30,40.49,$4.69,8.63
2022-06-30,38.56,$4.68,8.24
2022-03-31,44.12,$4.92,8.97
2021-12-31,46.43,$5.00,9.29
2021-09-30,43.88,$4.86,9.03
2021-06-30,42.66,$4.82,8.85
2021-03-31,45.43,$4.23,10.74
2020-12-31,36.32,$3.57,10.17
2020-09-30,26.84,$3.62,7.41
2020-06-30,29.74,$3.33,8.93
2020-03-31,26.66,$3.77,7.07
2019-12-31,43.74,$4.14,10.56
2019-09-30,39.19,$4.04,9.7
2019-06-30,39.03,$4.07,9.59
2019-03-31,37.07,$3.66,10.13
2018-12-31,38.08,$3.51,10.85
2018-09-30,50.11,$3.03,16.54
2018-06-30,47.23,$2.78,16.99
2018-03-31,45.57,$2.74,16.63
2017-12-31,45.98,$2.66,17.28
2017-09-30,42.19,$2.95,14.3
2017-06-30,40.12,$3.04,13.2
2017-03-31,42.45,$3.07,13.83
2016-12-31,40.7,$3.21,12.68
2016-09-30,30.45,$3.14,9.7
2016-06-30,29.71,$3.02,9.84
2016-03-31,25.84,$2.90,8.91
2015-12-31,26.23,$2.84,9.24
2015-09-30,30.27,$2.81,10.77
2015-06-30,30.97,$2.75,11.26
2015-03-31,27.07,$2.59,10.45
2014-12-31,22.41,$2.19,10.23
2014-09-30,19.67,$1.97,9.98
2014-06-30,20.28,$1.72,11.79
2014-03-31,22.04,$1.86,11.85
2013-12-31,23.42,$2.00,11.71
2013-09-30,22.58,$2.33,9.69
2013-03-31,20.33,$2.72,7.47
2012-12-31,20.95,$2.73,7.67
2012-09-30,21.68,$2.54,8.54
2012-06-30,19.01,$2.33,8.16
2012-03-31,13.66,$1.76,7.76
2011-12-31,12.01,$1.59,7.55
2013-06-30,22.2,$1.46,15.2
2011-09-30,11.02,$1.23,8.96
2011-06-30,11.24,$1.37,8.2
2011-03-31,13.04,$1.06,12.3
2010-12-31,13.3,$1.12,11.88
2010-09-30,11.66,$0.25,46.62
2010-06-30,13.0,$0.04,324.88
2010-03-31,11.94,$0.02,597.08
2009-12-31,10.66,$0.07,152.24
