TEGNA PE Ratio Historical Data,TEGNA PE Ratio Historical Data,TEGNA PE Ratio Historical Data,TEGNA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.78,,5.31
2024-12-31,18.29,$3.54,5.17
2024-09-30,15.68,$2.83,5.54
2024-06-30,13.72,$2.42,5.67
2024-03-31,14.7,$2.86,5.14
2023-12-31,14.94,$2.26,6.61
2023-09-30,14.23,$2.83,5.03
2023-06-30,15.74,$3.00,5.25
2023-03-31,16.3,$2.67,6.1
2022-12-31,20.3,$2.81,7.23
2022-09-30,19.72,$2.42,8.15
2022-06-30,19.91,$2.35,8.47
2022-03-31,21.18,$2.24,9.45
2021-12-31,17.48,$2.15,8.13
2021-09-30,18.48,$2.68,6.9
2021-06-30,17.49,$2.70,6.48
2021-03-31,17.46,$2.31,7.56
2020-12-31,12.89,$2.19,5.88
2020-09-30,10.8,$1.46,7.4
2020-06-30,10.18,$1.08,9.43
2020-03-31,9.87,$1.36,7.26
2019-12-31,15.09,$1.31,11.52
2019-09-30,13.98,$1.67,8.37
2019-06-30,13.58,$1.88,7.22
2019-03-31,12.58,$1.94,6.48
2018-12-31,9.65,$1.85,5.22
2018-09-30,10.56,$2.51,4.21
2018-06-30,9.52,$2.31,4.12
2018-03-31,9.93,$2.11,4.71
2017-12-31,12.21,$2.13,5.73
2017-09-30,11.5,$1.34,8.58
2017-06-30,12.37,$1.65,7.49
2017-03-31,13.95,$1.87,7.46
2016-12-31,11.58,$2.02,5.73
2016-09-30,11.76,$2.10,5.6
2016-06-30,12.39,$1.95,6.35
2016-03-31,12.47,$2.00,6.23
2015-12-31,13.49,$2.07,6.51
2015-09-30,11.77,$4.30,2.74
2015-06-30,16.76,$4.42,3.79
2015-03-31,15.64,$4.82,3.25
2014-12-31,13.39,$4.58,2.92
2014-09-30,12.37,$2.05,6.03
2014-06-30,12.98,$1.88,6.9
2014-03-31,11.36,$1.46,7.78
2013-12-31,12.09,$1.65,7.33
2013-09-30,10.88,$1.70,6.4
2013-06-30,9.87,$1.92,5.14
2013-03-31,8.75,$1.95,4.49
2012-12-31,7.15,$1.79,4.0
2012-09-30,6.99,$1.84,3.8
2012-06-30,5.74,$1.69,3.39
2012-03-31,5.9,$1.80,3.28
2011-12-31,5.08,$1.89,2.69
2011-09-30,3.61,$2.12,1.7
2011-06-30,5.39,$2.13,2.53
2011-03-31,5.71,$2.32,2.46
2010-12-31,5.65,$2.44,2.32
2010-09-30,4.57,$2.28,2.0
2010-06-30,5.02,$2.17,2.31
2010-03-31,6.14,$1.66,3.7
2009-12-31,5.51,$1.51,3.65
