Amesite PE Ratio Historical Data,Amesite PE Ratio Historical Data,Amesite PE Ratio Historical Data,Amesite PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.5,,0.0
2024-12-31,4.75,$-1.76,0.0
2024-09-30,2.45,$-1.72,0.0
2024-06-30,3.0,$-1.73,0.0
2024-03-31,2.23,$-1.27,0.0
2023-12-31,2.25,$-0.71,0.0
2023-09-30,2.55,$-0.35,0.0
2023-06-30,3.61,0,0.0
2023-03-31,2.61,0,0.0
2022-12-31,0.18,0,0.0
2022-09-30,0.24,0,0.0
2022-06-30,0.46,0,0.0
2022-03-31,0.57,0,0.0
2021-12-31,1.03,0,0.0
2021-09-30,1.81,0,0.0
2021-06-30,2.75,0,0.0
