Bank Of The James Financial PE Ratio Historical Data,Bank Of The James Financial PE Ratio Historical Data,Bank Of The James Financial PE Ratio Historical Data,Bank Of The James Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.7,,7.99
2024-09-30,13.65,$1.84,7.42
2024-06-30,11.1,$1.86,5.97
2024-03-31,10.12,$1.95,5.19
2023-12-31,11.84,$1.90,6.23
2023-09-30,10.09,$1.87,5.4
2023-06-30,8.68,$1.96,4.43
2023-03-31,9.94,$1.88,5.29
2022-12-31,11.19,$1.90,5.89
2022-09-30,11.8,$1.87,6.31
2022-06-30,12.06,$1.72,7.01
2022-03-31,13.74,$1.66,8.28
2021-12-31,14.2,$1.59,8.92
2021-09-30,13.17,$1.56,8.46
2021-06-30,14.56,$1.47,9.94
2021-03-31,11.62,$1.22,9.54
2020-12-31,9.94,$1.05,9.51
2020-09-30,7.96,$1.01,7.88
2020-06-30,7.66,$1.01,7.59
2020-03-31,7.04,$1.12,6.3
2019-12-31,12.23,$1.16,10.51
2019-09-30,11.38,$1.15,9.85
2019-06-30,11.69,$1.14,10.29
2019-03-31,10.82,$1.13,9.6
2018-12-31,10.21,$1.11,9.21
2018-09-30,12.42,$0.87,14.23
2018-06-30,12.95,$0.79,16.38
2018-03-31,11.92,$0.68,17.48
2017-12-31,11.59,$0.60,19.32
2017-09-30,11.21,$0.59,18.98
2017-06-30,11.53,$0.60,19.21
2017-03-31,11.22,$0.65,17.14
2016-12-31,11.59,$0.68,17.01
2016-09-30,9.25,$0.82,11.3
2016-06-30,9.28,$0.86,10.74
2016-03-31,8.83,$0.90,9.81
2015-12-31,9.7,$0.96,10.06
2015-09-30,8.37,$1.02,8.22
2015-06-30,8.43,$1.00,8.43
2015-03-31,8.15,$0.97,8.37
2014-12-31,7.58,$0.92,8.25
2014-09-30,6.59,$0.85,7.79
2014-06-30,6.48,$0.82,7.92
2014-03-31,6.69,$0.81,8.27
2013-12-31,6.72,$0.84,8.04
2013-09-30,5.9,$0.85,6.9
2013-06-30,5.61,$0.78,7.17
2013-03-31,5.23,$0.70,7.48
2012-12-31,4.13,$0.58,7.09
2012-09-30,4.0,$0.32,12.58
2012-06-30,3.89,$0.19,20.35
2012-03-31,3.91,$0.15,26.87
2011-12-31,3.19,$0.16,19.46
2011-09-30,2.71,$0.27,9.95
2011-06-30,3.98,$0.39,10.18
2011-03-31,3.84,$0.51,7.53
2010-12-31,4.71,$0.49,9.6
2010-09-30,5.25,$0.49,10.62
2010-06-30,5.83,$0.02,305.08
2010-03-31,5.59,$-0.14,0.0
2009-12-31,4.87,$-0.18,0.0
