LogicMark PE Ratio Historical Data,LogicMark PE Ratio Historical Data,LogicMark PE Ratio Historical Data,LogicMark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.15,,0.0
2024-09-30,3.87,$-223.50,0.0
2024-06-30,15.25,$-246.00,0.0
2024-03-31,25.0,$-267.75,0.0
2023-12-31,26.5,$-294.50,0.0
2023-09-30,44.5,$-251.25,0.0
2023-06-30,73.0,$-338.75,0.0
2023-03-31,75.65,$-358.00,0.0
2022-12-31,223.05,$-380.00,0.0
2022-09-30,378.5,$-250.00,0.0
2022-06-30,545.0,$-195.00,0.0
2022-03-31,1100.0,$-230.00,0.0
2021-12-31,1530.0,$-760.00,0.0
2021-09-30,2079.5,"$-1,110.00",0.0
2021-06-30,4449.5,"$-1,200.00",0.0
2021-03-31,7050.0,"$-1,200.00",0.0
2020-12-31,8000.0,$-550.00,0.0
2020-09-30,1716.0,$-200.00,0.0
2020-06-30,2520.5,"$-1,350.00",0.0
2020-03-31,1750.0,"$-1,850.00",0.0
2019-12-31,2250.5,"$-2,150.00",0.0
2019-09-30,2651.0,"$-2,150.00",0.0
2019-06-30,3692.5,"$-1,100.00",0.0
2019-03-31,4250.0,$-700.00,0.0
2018-12-31,3400.0,$-800.00,0.0
2018-09-30,6550.0,$-800.00,0.0
2018-06-30,8600.0,"$-1,950.00",0.0
2018-03-31,9950.0,"$-2,500.00",0.0
2017-12-31,17500.0,"$-2,800.00",0.0
2017-09-30,11000.0,"$-4,650.00",0.0
2017-06-30,9350.0,"$-5,450.00",0.0
2017-03-31,9250.0,"$-7,200.00",0.0
2016-12-31,13750.0,"$-12,050.00",0.0
2016-09-30,15100.0,"$-16,700.00",0.0
2016-06-30,17625.0,"$-21,000.00",0.0
2016-03-31,29000.0,"$-25,500.00",0.0
2015-12-31,12000.0,"$-24,000.00",0.0
2015-09-30,46995.0,"$-17,500.00",0.0
2015-06-30,118500.0,"$-11,000.00",0.0
2015-03-31,147500.0,"$-4,000.00",0.0
2014-12-31,110000.0,0,0.0
2014-09-30,128000.0,0,0.0
2014-06-30,195500.0,0,0.0
