Target Hospitality PE Ratio Historical Data,Target Hospitality PE Ratio Historical Data,Target Hospitality PE Ratio Historical Data,Target Hospitality PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.95,,6.84
2024-09-30,7.78,$0.87,8.94
2024-06-30,8.71,$1.10,7.92
2024-03-31,10.87,$1.36,7.99
2023-12-31,9.73,$1.54,6.32
2023-09-30,15.88,$1.56,10.18
2023-06-30,13.42,$1.33,10.09
2023-03-31,13.14,$1.13,11.63
2022-12-31,15.14,$0.76,19.92
2022-09-30,12.62,$0.48,26.29
2022-06-30,5.71,$0.35,16.31
2022-03-31,6.0,$0.10,60.0
2021-12-31,3.56,$-0.05,0.0
2021-09-30,3.73,$-0.18,0.0
2021-06-30,3.71,$-0.33,0.0
2021-03-31,2.51,$-0.47,0.0
2020-12-31,1.58,$-0.29,0.0
2020-09-30,1.22,$-0.19,0.0
2020-06-30,1.69,$-0.01,0.0
2020-03-31,1.99,$0.25,7.96
2019-12-31,5.0,$0.03,166.67
2019-09-30,6.81,$0.03,227.0
2019-06-30,9.1,$-0.07,0.0
2019-03-31,9.5,$-0.18,0.0
2018-12-31,10.08,0,0.0
