Peoples Financial Services PE Ratio Historical Data,Peoples Financial Services PE Ratio Historical Data,Peoples Financial Services PE Ratio Historical Data,Peoples Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.78,,44.45
2024-09-30,46.36,$1.03,45.01
2024-06-30,44.46,$2.41,18.45
2024-03-31,41.65,$3.26,12.78
2023-12-31,46.56,$3.82,12.19
2023-09-30,37.97,$4.58,8.29
2023-06-30,41.09,$5.01,8.2
2023-03-31,40.27,$5.00,8.05
2022-12-31,47.76,$5.28,9.05
2022-09-30,42.84,$6.29,6.81
2022-06-30,50.66,$6.17,8.21
2022-03-31,45.47,$6.05,7.51
2021-12-31,47.08,$6.03,7.81
2021-09-30,40.4,$4.88,8.28
2021-06-30,37.46,$4.76,7.87
2021-03-31,36.83,$4.61,7.99
2020-12-31,31.78,$4.02,7.9
2020-09-30,29.78,$3.81,7.82
2020-06-30,32.41,$3.64,8.9
2020-03-31,33.36,$3.57,9.34
2019-12-31,41.94,$3.72,11.27
2019-09-30,37.45,$3.66,10.23
2019-06-30,36.92,$3.60,10.26
2019-03-31,36.84,$3.45,10.68
2018-12-31,35.6,$3.37,10.56
2018-09-30,34.26,$2.87,11.94
2018-06-30,37.72,$2.68,14.07
2018-03-31,36.37,$2.63,13.83
2017-12-31,36.83,$2.49,14.79
2017-09-30,37.55,$2.77,13.56
2017-06-30,34.09,$2.74,12.44
2017-03-31,32.33,$2.64,12.25
2016-12-31,37.41,$2.65,14.12
2016-09-30,31.09,$2.53,12.29
2016-06-30,29.62,$2.42,12.24
2016-03-31,27.92,$2.35,11.88
2015-12-31,28.33,$2.36,12.0
2015-09-30,25.79,$2.42,10.66
2015-06-30,28.99,$2.53,11.46
2015-03-31,32.58,$2.38,13.69
2014-12-31,35.8,$2.33,15.37
2014-09-30,32.93,$1.36,24.21
2014-06-30,36.57,$1.23,29.73
2014-03-31,29.43,$1.43,20.58
2013-12-31,26.87,$0.81,33.18
2013-09-30,23.89,$1.20,19.91
2013-06-30,24.6,$0.64,38.45
2013-03-31,22.88,0,0.0
2012-12-31,20.99,0,0.0
2012-09-30,20.4,0,0.0
2012-06-30,19.67,0,0.0
2012-03-31,18.85,0,0.0
2011-12-31,18.87,0,0.0
2011-09-30,18.27,0,0.0
2011-06-30,17.81,0,0.0
2011-03-31,17.19,0,0.0
2010-12-31,17.25,0,0.0
2010-09-30,18.03,0,0.0
2010-06-30,16.61,0,0.0
2010-03-31,13.73,0,0.0
2009-12-31,11.33,0,0.0
