Avangrid PE Ratio Historical Data,Avangrid PE Ratio Historical Data,Avangrid PE Ratio Historical Data,Avangrid PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,36.02,,12.38
2024-09-30,35.35,$2.91,12.15
2024-06-30,34.67,$2.53,13.7
2024-03-31,35.56,$2.31,15.39
2023-12-31,31.18,$2.03,15.36
2023-09-30,28.62,$1.38,20.74
2023-06-30,35.3,$1.50,23.53
2023-03-31,36.92,$1.76,20.98
2022-12-31,39.35,$2.28,17.26
2022-09-30,37.79,$2.32,16.29
2022-06-30,41.42,$2.34,17.7
2022-03-31,41.6,$2.14,19.44
2021-12-31,43.96,$2.07,21.24
2021-09-30,42.44,$2.19,19.38
2021-06-30,44.56,$2.18,20.44
2021-03-31,42.8,$2.18,19.63
2020-12-31,38.68,$1.88,20.58
2020-09-30,42.53,$2.06,20.65
2020-06-30,35.06,$2.26,15.51
2020-03-31,36.21,$2.34,15.48
2019-12-31,41.96,$1.94,21.63
2019-09-30,42.47,$1.62,26.22
2019-06-30,40.7,$1.48,27.5
2018-12-31,39.66,$1.91,20.77
2018-09-30,37.63,$1.28,29.4
2018-06-30,41.2,$1.58,26.08
2018-03-31,39.45,$1.56,25.29
2017-12-31,38.69,$1.16,33.35
2019-03-31,40.23,$2.18,18.46
2017-09-30,35.97,$2.15,16.73
2017-06-30,33.19,$2.18,15.23
2017-03-31,31.83,$2.12,15.01
2016-12-31,27.92,$2.04,13.69
2016-09-30,30.44,$1.74,17.49
