Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data,Independent Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.04,,9.82
2024-12-31,34.83,$3.16,11.02
2024-09-30,33.11,$2.94,11.26
2024-06-30,26.6,$3.12,8.53
2024-03-31,24.74,$2.94,8.41
2023-12-31,25.15,$2.79,9.01
2023-09-30,17.53,$2.85,6.15
2023-06-30,16.03,$2.83,5.66
2023-03-31,16.55,$2.74,6.04
2022-12-31,22.06,$2.97,7.43
2022-09-30,17.44,$2.84,6.14
2022-06-30,17.42,$2.76,6.31
2022-03-31,19.66,$2.71,7.26
2021-12-31,21.14,$2.87,7.37
2021-09-30,18.86,$3.06,6.16
2021-06-30,18.87,$3.22,5.86
2021-03-31,20.37,$3.33,6.12
2020-12-31,15.75,$2.54,6.2
2020-09-30,10.58,$2.38,4.44
2020-06-30,12.32,$2.04,6.04
2020-03-31,10.53,$1.83,5.75
2019-12-31,18.36,$2.01,9.13
2019-09-30,17.14,$1.81,9.47
2019-06-30,17.37,$1.75,9.92
2019-03-31,17.13,$1.65,10.38
2018-12-31,16.62,$1.68,9.89
2018-09-30,18.57,$1.35,13.76
2018-06-30,19.91,$1.18,16.87
2018-03-31,17.76,$1.09,16.3
2017-12-31,17.22,$0.95,18.13
2017-09-30,17.36,$1.14,15.23
2017-06-30,16.59,$1.12,14.81
2017-03-31,15.72,$1.15,13.67
2016-12-31,16.4,$1.06,15.47
2016-09-30,12.65,$1.04,12.16
2016-06-30,10.85,$0.96,11.3
2016-03-31,10.82,$0.90,12.02
2015-12-31,11.26,$0.87,12.95
2015-09-30,10.86,$0.79,13.74
2015-06-30,9.93,$0.78,12.74
2015-03-31,9.36,$0.80,11.7
2014-12-31,9.47,$0.77,12.3
2014-09-30,8.61,$0.81,10.63
2014-06-30,9.25,$0.77,12.02
2014-03-31,9.29,$3.15,2.95
2013-12-31,8.59,$3.29,2.61
2013-09-30,7.16,$3.44,2.08
2013-06-30,4.5,$3.43,1.31
2013-03-31,6.05,$0.90,6.73
2012-12-31,2.51,$0.70,3.58
2012-09-30,1.94,$-0.81,0.0
2012-06-30,1.77,$-1.58,0.0
2012-03-31,1.57,$-1.81,0.0
2011-12-31,0.95,$-2.94,0.0
2011-09-30,1.37,$-2.44,0.0
2011-06-30,1.45,$-2.86,0.0
2011-03-31,2.29,$-2.34,0.0
2010-12-31,0.93,$-7.48,0.0
