Berry Global PE Ratio Historical Data,Berry Global PE Ratio Historical Data,Berry Global PE Ratio Historical Data,Berry Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.18,,17.5
2024-12-31,64.67,$4.01,16.13
2024-09-30,62.19,$4.39,14.17
2024-06-30,53.62,$4.68,11.46
2024-03-31,55.11,$4.21,13.09
2023-12-31,61.11,$4.65,13.14
2023-09-30,55.91,$5.00,11.18
2023-06-30,57.88,$5.30,10.92
2023-03-31,52.76,$5.70,9.26
2022-12-31,53.91,$5.78,9.33
2022-09-30,41.34,$5.80,7.13
2022-06-30,48.54,$5.59,8.68
2022-03-31,51.49,$5.41,9.52
2021-12-31,65.54,$5.23,12.53
2021-09-30,54.08,$5.32,10.17
2021-06-30,57.94,$5.12,11.32
2021-03-31,54.55,$5.14,10.61
2020-12-31,49.92,$4.76,10.49
2020-09-30,42.93,$4.15,10.34
2020-06-30,39.37,$4.41,8.93
2020-03-31,29.95,$3.09,9.69
2019-12-31,42.19,$2.70,15.63
2019-09-30,34.89,$3.01,11.59
2019-06-30,46.72,$2.30,20.31
2019-03-31,47.86,$3.01,15.9
2018-12-31,42.22,$3.12,13.53
2018-09-30,42.99,$3.66,11.75
2018-06-30,40.81,$3.48,11.73
2018-03-31,48.69,$3.46,14.07
2017-12-31,52.12,$3.34,15.6
2017-09-30,50.33,$2.54,19.81
2017-06-30,50.65,$2.34,21.64
2017-03-31,43.15,$2.31,18.68
2016-12-31,43.29,$2.24,19.33
2016-09-30,38.95,$1.87,20.83
2016-06-30,34.51,$1.65,20.92
2016-03-31,32.11,$0.78,41.17
2015-12-31,32.14,$0.62,51.84
2015-09-30,26.71,$0.70,38.16
2015-06-30,28.78,$0.55,52.33
2015-03-31,32.15,$0.78,41.22
2014-12-31,28.03,$0.57,49.17
2014-09-30,22.42,$0.51,43.96
2014-06-30,22.92,$0.49,46.77
2014-03-31,20.57,$0.70,29.38
2013-12-31,21.13,$0.61,34.65
2013-09-30,17.74,$0.47,37.75
