PRA PE Ratio Historical Data,PRA PE Ratio Historical Data,PRA PE Ratio Historical Data,PRA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.41,,11.4
2024-12-31,20.89,$1.79,11.67
2024-09-30,22.36,$1.10,20.33
2024-06-30,19.66,$0.10,196.6
2024-03-31,26.08,$-0.54,0.0
2023-12-31,26.2,$-2.13,0.0
2023-09-30,19.21,$-1.50,0.0
2023-06-30,22.85,$-0.56,0.0
2023-03-31,38.96,$0.45,86.58
2022-12-31,33.78,$2.92,11.57
2022-09-30,32.86,$3.30,9.96
2022-06-30,36.36,$3.43,10.6
2022-03-31,45.08,$3.74,12.05
2021-12-31,50.21,$4.04,12.43
2021-09-30,42.14,$3.90,10.81
2021-06-30,38.47,$4.06,9.48
2021-03-31,37.07,$4.10,9.04
2020-12-31,39.66,$3.25,12.2
2020-09-30,39.95,$3.20,12.48
2020-06-30,38.66,$2.83,13.66
2020-03-31,27.72,$1.98,14.0
2019-12-31,36.3,$1.90,19.11
2019-09-30,33.79,$1.63,20.73
2019-06-30,28.14,$1.30,21.65
2019-03-31,26.81,$1.32,20.31
2018-12-31,24.37,$1.45,16.81
2018-09-30,36.0,$3.04,11.84
2018-06-30,38.55,$3.16,12.2
2018-03-31,38.0,$2.98,12.75
2017-12-31,33.2,$3.54,9.38
2017-09-30,28.65,$1.24,23.1
2017-06-30,37.9,$1.64,23.11
2017-03-31,33.15,$2.18,15.21
2016-12-31,39.1,$1.84,21.25
2016-09-30,34.54,$3.08,11.21
2016-06-30,24.14,$2.70,8.94
2016-03-31,29.39,$2.97,9.9
2015-12-31,34.69,$3.47,10.0
2015-09-30,52.92,$3.54,14.95
2015-06-30,62.31,$4.19,14.87
2015-03-31,54.32,$3.87,14.04
2014-12-31,57.93,$3.49,16.6
2014-09-30,52.23,$3.47,15.05
2014-06-30,59.53,$3.39,17.56
2014-03-31,57.86,$3.50,16.52
2013-12-31,52.84,$3.45,15.33
2013-09-30,59.93,$3.24,18.52
2013-06-30,51.21,$2.96,17.3
2013-03-31,42.31,$2.73,15.5
2012-12-31,35.62,$2.47,14.44
2012-09-30,34.81,$2.28,15.27
2012-06-30,30.42,$2.12,14.35
2012-03-31,23.91,$1.99,12.01
2011-12-31,22.51,$1.95,11.56
2011-09-30,20.74,$1.83,11.31
2011-06-30,28.26,$1.70,16.63
2011-03-31,28.38,$1.59,17.88
2010-12-31,25.07,$1.44,17.37
2010-09-30,21.55,$1.31,16.45
2010-06-30,22.26,$1.17,19.08
2010-03-31,18.29,$1.04,17.59
2009-12-31,14.95,$0.96,15.63
