Cartesian Growth II PE Ratio Historical Data,Cartesian Growth II PE Ratio Historical Data,Cartesian Growth II PE Ratio Historical Data,Cartesian Growth II PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.83,,91.0
2024-09-30,11.47,$0.13,88.23
2024-06-30,11.28,0,0.0
2024-03-31,11.11,0,0.0
2023-12-31,10.94,0,0.0
2023-09-30,10.86,0,0.0
2023-06-30,10.67,0,0.0
