Smart Share Global PE Ratio Historical Data,Smart Share Global PE Ratio Historical Data,Smart Share Global PE Ratio Historical Data,Smart Share Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.12,,112.0
2024-09-30,0.71,$0.01,70.95
2024-06-30,0.86,$0.03,28.62
2024-03-31,0.66,$0.03,21.91
2023-12-31,0.5,$0.03,16.7
2023-09-30,0.76,$-0.15,0.0
2023-06-30,0.98,$-0.23,0.0
2023-03-31,1.11,$-0.34,0.0
2022-12-31,1.14,$-0.40,0.0
2022-09-30,0.7,$-0.26,0.0
2022-06-30,1.11,$-0.19,0.0
