Professional Diversity Network PE Ratio Historical Data,Professional Diversity Network PE Ratio Historical Data,Professional Diversity Network PE Ratio Historical Data,Professional Diversity Network PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.51,,0.0
2024-09-30,0.44,$-0.20,0.0
2024-06-30,0.46,$-0.29,0.0
2024-03-31,1.78,$-0.38,0.0
2023-12-31,2.03,$-0.42,0.0
2023-09-30,2.56,$-0.37,0.0
2023-06-30,4.45,$-0.39,0.0
2023-03-31,4.44,$-0.31,0.0
2022-12-31,2.07,$-0.32,0.0
2022-09-30,1.55,$-0.50,0.0
2022-06-30,1.42,$-0.38,0.0
2022-03-31,2.02,$-0.40,0.0
2021-12-31,1.95,$-0.40,0.0
2021-09-30,2.52,$-0.22,0.0
2021-06-30,3.22,$-0.34,0.0
2021-03-31,4.7,$-0.60,0.0
2020-12-31,5.18,$-0.82,0.0
2020-09-30,1.92,$-0.82,0.0
2020-06-30,5.72,$-0.90,0.0
2020-03-31,1.82,$-0.86,0.0
2019-12-31,1.82,$-0.98,0.0
2019-09-30,2.82,$-0.98,0.0
2019-06-30,5.02,$-3.74,0.0
2019-03-31,6.42,$-4.36,0.0
2018-12-31,2.0,$-4.86,0.0
2018-09-30,5.7,$-7.20,0.0
2018-06-30,7.64,$-5.48,0.0
2018-03-31,5.62,$-10.70,0.0
2017-12-31,8.18,$-11.34,0.0
2017-09-30,7.64,$-9.08,0.0
2017-06-30,13.76,$-9.22,0.0
2017-03-31,19.18,$-4.04,0.0
2016-12-31,21.84,$-4.04,0.0
2016-09-30,16.38,$-8.12,0.0
2016-06-30,6.4,$-39.52,0.0
2016-03-31,5.6,$-39.52,0.0
2015-12-31,8.0,$-39.84,0.0
2015-09-30,11.84,$-38.72,0.0
2015-06-30,33.12,$-8.16,0.0
2015-03-31,77.6,$-8.48,0.0
2014-12-31,77.92,$-7.20,0.0
2014-09-30,80.8,$-5.60,0.0
2014-06-30,65.12,$-4.00,0.0
2014-03-31,55.2,$-3.04,0.0
2013-12-31,73.76,$-4.16,0.0
