Chipmos Technologies PE Ratio Historical Data,Chipmos Technologies PE Ratio Historical Data,Chipmos Technologies PE Ratio Historical Data,Chipmos Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.68,,13.06
2024-09-30,23.4,$1.43,16.36
2024-06-30,26.11,$1.67,15.63
2024-03-31,30.16,$1.85,16.3
2023-12-31,26.1,$1.65,15.82
2023-09-30,22.11,$1.38,16.02
2023-06-30,22.72,$1.46,15.56
2023-03-31,22.67,$2.12,10.69
2022-12-31,19.35,$3.12,6.2
2022-09-30,16.73,$4.39,3.81
2022-06-30,22.55,$5.18,4.35
2022-03-31,28.93,$5.22,5.54
2021-12-31,28.6,$4.97,5.75
2021-09-30,27.87,$4.23,6.59
2021-06-30,26.62,$3.26,8.17
2021-03-31,24.75,$2.51,9.86
2020-12-31,19.07,$2.22,8.59
2020-09-30,15.09,$2.04,7.4
2020-06-30,16.79,$2.16,7.77
2020-03-31,12.95,$2.77,4.68
2019-12-31,16.75,$2.30,7.28
2019-09-30,15.03,$2.27,6.62
2019-06-30,11.03,$2.11,5.23
2019-03-31,12.1,$1.11,10.93
2018-12-31,12.07,$0.96,12.56
2018-09-30,12.76,$0.65,19.5
2018-06-30,12.59,$0.45,28.16
2018-03-31,13.19,$0.62,21.15
2017-12-31,14.69,$2.74,5.36
2017-09-30,16.08,$3.11,5.18
2017-06-30,16.45,$2.97,5.55
2017-03-31,14.64,$2.70,5.43
2016-12-31,11.63,$0.68,17.1
2016-09-30,15.1,$0.25,60.19
2016-06-30,13.81,$0.84,16.38
2016-03-31,13.25,$0.92,14.43
2015-12-31,15.1,$1.32,11.43
2015-09-30,12.52,$2.03,6.18
2015-06-30,16.65,$2.20,7.56
2015-03-31,18.8,$2.34,8.04
2014-12-31,17.78,$2.26,7.85
2014-09-30,17.25,$1.71,10.08
2014-06-30,18.4,$1.55,11.89
2014-03-31,16.82,$1.81,9.29
2013-12-31,14.67,$1.87,7.83
2013-09-30,13.6,$1.99,6.84
2013-06-30,14.63,$1.94,7.55
2013-03-31,10.07,$1.89,5.34
2012-12-31,8.77,$1.11,7.93
2012-09-30,11.83,$0.81,14.7
2012-06-30,7.9,$0.45,17.44
2012-03-31,13.13,$-0.01,0.0
2011-12-31,3.85,$0.05,76.57
2011-09-30,3.86,$2.10,1.84
2011-06-30,6.7,$-0.33,0.0
2011-03-31,6.57,$-0.42,0.0
2010-12-31,4.57,$0.29,15.79
2010-09-30,4.15,$-2.36,0.0
2010-06-30,4.45,$-2.21,0.0
2010-03-31,2.18,$-4.48,0.0
2009-12-31,2.12,$-8.55,0.0
