Diversified Healthcare Trust PE Ratio Historical Data,Diversified Healthcare Trust PE Ratio Historical Data,Diversified Healthcare Trust PE Ratio Historical Data,Diversified Healthcare Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.68,,0.0
2024-12-31,2.3,$-1.54,0.0
2024-09-30,4.18,$-1.61,0.0
2024-06-30,3.03,$-1.48,0.0
2024-03-31,2.44,$-1.37,0.0
2023-12-31,3.69,$-1.23,0.0
2023-09-30,1.9,$-1.07,0.0
2023-06-30,2.2,$-1.13,0.0
2023-03-31,1.31,$-1.29,0.0
2022-12-31,0.62,$-0.06,0.0
2022-09-30,0.94,$1.75,0.54
2022-06-30,1.71,$1.71,1.0
2022-03-31,3.0,$2.03,1.48
2021-12-31,2.88,$0.74,3.9
2021-09-30,3.16,$-0.87,0.0
2021-06-30,3.88,$-0.94,0.0
2021-03-31,4.43,$-0.91,0.0
2020-12-31,3.81,$-0.59,0.0
2020-09-30,3.24,$-0.74,0.0
2020-06-30,4.07,$-0.41,0.0
2020-03-31,3.33,$-0.46,0.0
2019-12-31,7.35,$-0.37,0.0
2019-09-30,7.94,$-0.65,0.0
2019-06-30,6.97,$-0.34,0.0
2019-03-31,9.74,$0.34,28.66
2018-12-31,9.41,$1.20,7.84
2018-09-30,14.1,$1.97,7.16
2018-06-30,14.21,$1.92,7.4
2018-03-31,11.99,$1.47,8.16
2017-12-31,14.35,$0.62,23.15
2017-09-30,14.35,$0.53,27.08
2017-06-30,14.71,$0.51,28.84
2017-03-31,14.32,$0.61,23.47
2016-12-31,13.11,$0.60,21.86
2016-09-30,15.46,$0.46,33.6
2016-06-30,13.93,$0.50,27.85
2016-03-31,11.7,$0.48,24.37
2015-12-31,9.44,$0.53,17.82
2015-09-30,9.97,$0.71,14.04
2015-06-30,10.56,$0.73,14.46
2015-03-31,13.11,$0.77,17.02
2014-12-31,12.85,$0.80,16.06
2014-09-30,11.94,$0.96,12.44
2014-06-30,13.64,$0.98,13.92
2014-03-31,12.4,$0.82,15.12
2013-12-31,12.05,$0.80,15.06
2013-09-30,12.45,$0.67,18.58
2013-06-30,13.63,$0.62,21.98
2013-03-31,13.9,$0.79,17.6
2012-12-31,12.05,$0.80,15.07
2012-09-30,10.91,$0.79,13.81
2012-06-30,11.0,$0.84,13.09
2012-03-31,10.67,$1.00,10.67
2011-12-31,10.68,$1.02,10.47
2011-09-30,10.07,$1.04,9.68
2011-06-30,10.77,$1.06,10.16
2011-03-31,10.43,$0.89,11.72
2010-12-31,9.77,$0.90,10.85
2010-09-30,10.31,$0.89,11.58
2010-06-30,8.67,$0.80,10.84
2010-03-31,9.4,$0.86,10.94
2009-12-31,9.13,$0.90,10.15
