Pacific Premier Bancorp Inc PE Ratio Historical Data,Pacific Premier Bancorp Inc PE Ratio Historical Data,Pacific Premier Bancorp Inc PE Ratio Historical Data,Pacific Premier Bancorp Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.75,,13.26
2024-12-31,24.92,$1.64,15.2
2024-09-30,24.83,$-0.15,0.0
2024-06-30,22.36,$-0.04,0.0
2024-03-31,23.03,$0.13,177.14
2023-12-31,27.55,$0.30,91.85
2023-09-30,20.27,$2.51,8.08
2023-06-30,19.02,$2.80,6.79
2023-03-31,21.71,$2.93,7.41
2022-12-31,28.26,$2.97,9.51
2022-09-30,27.47,$3.09,8.89
2022-06-30,25.69,$3.27,7.86
2022-03-31,30.75,$3.55,8.66
2021-12-31,34.52,$3.57,9.67
2021-09-30,35.45,$3.39,10.46
2021-06-30,35.87,$3.15,11.39
2021-03-31,36.59,$0.73,50.12
2020-12-31,26.17,$0.44,59.48
2020-09-30,16.65,$0.42,39.64
2020-06-30,17.71,$0.40,44.28
2020-03-31,15.2,$2.43,6.25
2019-12-31,26.08,$2.62,9.95
2019-09-30,24.79,$2.56,9.68
2019-06-30,24.36,$2.33,10.45
2019-03-31,20.77,$2.29,9.07
2018-12-31,19.83,$2.27,8.74
2018-09-30,28.91,$2.00,14.46
2018-06-30,29.65,$2.04,14.53
2018-03-31,31.24,$1.81,17.26
2017-12-31,31.09,$1.55,20.06
2017-09-30,29.34,$1.62,18.11
2017-06-30,28.68,$1.45,19.78
2017-03-31,29.96,$1.47,20.38
2016-12-31,27.47,$1.46,18.82
2016-09-30,20.56,$1.40,14.69
2016-06-30,18.65,$1.43,13.04
2016-03-31,16.61,$1.42,11.7
2015-12-31,16.51,$1.18,14.0
2015-09-30,15.79,$1.04,15.18
2015-06-30,13.18,$0.99,13.31
2015-03-31,12.58,$0.90,13.98
2014-12-31,13.47,$0.96,14.03
2014-09-30,10.92,$0.97,11.26
2014-06-30,10.95,$0.84,13.04
2014-03-31,12.54,$0.55,22.81
2013-12-31,12.23,$0.53,23.08
2013-09-30,10.43,$0.61,17.1
2013-06-30,9.5,$0.75,12.66
2013-03-31,10.22,$1.32,7.74
2012-12-31,7.96,$1.44,5.53
2012-09-30,7.41,$1.36,5.45
2012-06-30,6.53,$1.27,5.14
2012-03-31,6.22,$0.80,7.77
2011-12-31,4.93,$0.99,4.98
2011-09-30,4.59,$0.89,5.15
2011-06-30,4.97,$0.83,5.99
2011-03-31,5.3,$0.78,6.8
2010-12-31,5.04,$0.38,13.25
2010-09-30,3.46,$0.20,17.29
2010-06-30,3.26,$0.03,108.54
2010-03-31,3.81,$-0.12,0.0
2009-12-31,2.62,$-0.07,0.0
