Imperial Oil PE Ratio Historical Data,Imperial Oil PE Ratio Historical Data,Imperial Oil PE Ratio Historical Data,Imperial Oil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.26,,10.81
2024-12-31,61.6,$6.59,9.35
2024-09-30,69.87,$6.71,10.41
2024-06-30,67.27,$7.06,9.53
2024-03-31,67.69,$6.38,10.61
2023-12-31,56.0,$6.31,8.87
2023-09-30,59.92,$6.61,9.06
2023-06-30,49.45,$7.03,7.03
2023-03-31,48.72,$9.01,5.41
2022-12-31,46.44,$8.81,5.27
2022-09-30,40.99,$7.64,5.37
2022-06-30,44.39,$6.18,7.18
2022-03-31,45.31,$3.75,12.08
2021-12-31,33.65,$2.79,12.06
2021-09-30,29.24,$0.65,44.99
2021-06-30,27.95,$-0.37,0.0
2021-03-31,22.08,$-1.30,0.0
2020-12-31,17.24,$-1.91,0.0
2020-09-30,10.73,$-0.44,0.0
2020-06-30,14.26,$-0.02,0.0
2020-03-31,9.92,$1.67,5.94
2019-12-31,23.12,$2.15,10.75
2019-09-30,22.58,$2.70,8.36
2019-06-30,23.85,$3.00,7.95
2019-03-31,23.45,$2.02,11.61
2018-12-31,21.57,$2.22,9.72
2018-09-30,27.45,$1.27,21.61
2018-06-30,28.06,$0.90,31.18
2018-03-31,22.27,$0.64,34.79
2017-12-31,26.09,$0.45,57.97
2017-09-30,26.61,$1.85,14.38
2017-06-30,24.2,$2.40,10.08
2017-03-31,25.19,$2.31,10.91
2016-12-31,28.61,$1.92,14.9
2016-09-30,25.69,$0.74,34.72
2016-06-30,25.79,$0.27,95.52
2016-03-31,27.2,$0.54,50.37
2015-12-31,26.4,$1.04,25.38
2015-09-30,25.57,$1.57,16.29
2015-06-30,31.15,$2.12,14.69
2015-03-31,32.08,$3.35,9.58
2014-12-31,34.52,$3.95,8.74
2014-09-30,37.79,$4.44,8.51
2014-06-30,42.02,$4.19,10.03
2014-03-31,37.07,$3.22,11.51
2013-12-31,35.14,$3.13,11.23
2013-09-30,34.82,$3.28,10.62
2013-06-30,30.18,$3.77,8.01
2013-03-31,32.18,$4.16,7.74
2012-12-31,33.77,$4.45,7.59
2012-09-30,36.05,$4.36,8.27
2012-06-30,32.59,$4.15,7.85
2012-03-31,35.36,$4.29,8.24
2011-12-31,34.56,$4.04,8.55
2011-09-30,27.99,$3.80,7.36
2011-06-30,36.01,$3.27,11.01
2011-03-31,39.38,$2.95,13.35
2010-12-31,31.18,$2.54,12.28
2010-09-30,29.02,$2.21,13.13
2010-06-30,27.86,$2.33,11.96
2010-03-31,29.66,$1.96,15.13
2009-12-31,29.42,$1.68,17.51
