Sandy Spring Bancorp PE Ratio Historical Data,Sandy Spring Bancorp PE Ratio Historical Data,Sandy Spring Bancorp PE Ratio Historical Data,Sandy Spring Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.05,,64.56
2024-12-31,33.71,$0.45,74.91
2024-09-30,31.09,$1.90,16.36
2024-06-30,23.85,$2.00,11.93
2024-03-31,22.35,$2.04,10.95
2023-12-31,25.86,$2.73,9.47
2023-09-30,20.03,$2.91,6.88
2023-06-30,20.91,$3.20,6.54
2023-03-31,23.56,$3.86,6.1
2022-12-31,31.64,$3.68,8.6
2022-09-30,31.36,$3.91,8.02
2022-06-30,34.45,$4.36,7.9
2022-03-31,39.26,$4.34,9.05
2021-12-31,41.72,$4.96,8.41
2021-09-30,39.51,$5.16,7.66
2021-06-30,37.78,$4.90,7.71
2021-03-31,36.93,$3.40,10.86
2020-12-31,27.13,$2.10,12.92
2020-09-30,19.26,$1.71,11.26
2020-06-30,20.43,$1.59,12.85
2020-03-31,18.4,$2.69,6.84
2019-12-31,30.53,$3.26,9.37
2019-09-30,26.94,$3.18,8.47
2019-06-30,27.63,$3.18,8.69
2019-03-31,24.57,$3.07,8.0
2018-12-31,24.41,$2.83,8.63
2018-09-30,30.38,$2.45,12.4
2018-06-30,31.47,$2.25,13.99
2018-03-31,29.54,$2.18,13.55
2017-12-31,29.53,$2.20,13.42
2017-09-30,31.16,$2.41,12.93
2017-06-30,30.37,$2.35,12.92
2017-03-31,30.43,$2.18,13.96
2016-12-31,29.51,$2.00,14.75
2016-09-30,22.38,$1.97,11.36
2016-06-30,21.1,$1.86,11.34
2016-03-31,20.03,$1.84,10.89
2015-12-31,19.22,$1.84,10.45
2015-09-30,18.51,$1.68,11.02
2015-06-30,19.63,$1.67,11.75
2015-03-31,18.24,$1.53,11.92
2014-12-31,17.98,$1.51,11.91
2014-09-30,15.66,$1.53,10.24
2014-06-30,16.9,$1.57,10.76
2014-03-31,16.82,$1.78,9.45
2013-12-31,18.84,$1.77,10.64
2013-09-30,15.42,$1.79,8.62
2013-06-30,14.25,$1.75,8.14
2013-03-31,13.15,$1.56,8.43
2012-12-31,12.61,$1.49,8.47
2012-09-30,12.41,$1.39,8.93
2012-06-30,11.53,$1.42,8.12
2012-03-31,11.56,$1.46,7.92
2011-12-31,11.11,$1.41,7.88
2011-09-30,9.21,$1.38,6.67
2011-06-30,11.26,$1.18,9.54
2011-03-31,11.5,$1.05,10.96
2010-12-31,11.44,$0.71,16.11
2010-09-30,9.61,$0.17,56.56
2010-06-30,8.69,$-1.00,0.0
2010-03-31,9.29,$-1.30,0.0
2009-12-31,5.5,$-1.20,0.0
