Seanergy Maritime Holdings Corp PE Ratio Historical Data,Seanergy Maritime Holdings Corp PE Ratio Historical Data,Seanergy Maritime Holdings Corp PE Ratio Historical Data,Seanergy Maritime Holdings Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.26,,3.1
2024-09-30,12.42,$2.34,5.31
2024-06-30,9.67,$1.45,6.67
2024-03-31,8.4,$0.80,10.5
2023-12-31,7.48,$0.07,106.85
2023-09-30,5.25,$-0.45,0.0
2023-06-30,4.57,$0.23,19.86
2023-03-31,4.77,$0.50,9.53
2022-12-31,4.64,$0.93,4.99
2022-09-30,4.23,$2.00,2.12
2022-06-30,6.96,$2.60,2.68
2022-03-31,9.46,$2.40,3.94
2021-12-31,7.31,$2.10,3.48
2021-09-30,11.54,$1.40,8.24
2021-06-30,8.91,$-49.20,0.0
2021-03-31,8.43,$-44.50,0.0
2020-09-30,3.63,$-561.20,0.0
2020-03-31,19.35,$-921.42,0.0
2019-09-30,61.3,"$-1,087.71",0.0
2019-03-31,521.93,"$-1,524.30",0.0
2018-09-30,1717.99,"$-1,703.15",0.0
2018-03-31,1666.43,"$-2,038.98",0.0
2017-03-31,1565.8,"$-2,446.78",0.0
2016-12-31,2195.94,"$-2,854.57",0.0
2016-09-30,5900.39,"$-2,902.55",0.0
2016-06-30,4200.73,"$-2,446.78",0.0
2016-03-31,5289.34,"$-2,062.97",0.0
2015-12-31,6491.38,"$-1,703.15",0.0
2015-09-30,7133.93,"$-1,919.04",0.0
2015-06-30,5346.63,"$-2,638.68",0.0
2015-03-31,7637.09,"$-3,118.44",0.0
2014-12-31,7924.47,"$81,079.46",0.1
2014-09-30,16593.65,"$89,475.26",0.19
2014-06-30,13080.15,"$107,586.20",0.12
2014-03-31,16898.21,"$93,553.22",0.18
2013-12-31,19191.54,"$10,914.54",1.76
2013-09-30,15753.46,"$-113,943.04",0.0
2013-06-30,14512.28,"$-173,193.41",0.0
2013-03-31,19009.18,"$-186,866.58",0.0
2012-12-31,9930.41,"$-194,422.80",0.0
2012-09-30,19858.91,"$-66,086.96",0.0
2012-06-30,19763.43,"$-357,661.21",0.0
2012-03-31,31697.88,"$-328,155.96",0.0
2011-12-31,20623.67,"$-323,477.40",0.0
2011-09-30,30456.69,"$-337,988.34",0.0
2011-06-30,56330.56,"$1,079.46",52.18
2011-03-31,87646.54,"$-5,394.60",0.0
2010-12-31,131040.17,"$-3,596.40",0.0
2010-09-30,158966.76,"$-17,982.02",0.0
2010-06-30,164695.29,"$59,340.65",2.78
2010-03-31,166127.42,"$118,681.30",1.4
2009-12-31,419614.96,"$208,591.37",2.01
