HUYA PE Ratio Historical Data,HUYA PE Ratio Historical Data,HUYA PE Ratio Historical Data,HUYA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.21,,0.0
2024-09-30,4.12,$-0.09,0.0
2024-06-30,3.19,$-0.09,0.0
2024-03-31,3.17,$-0.10,0.0
2023-12-31,2.55,$-0.11,0.0
2023-09-30,1.98,$-0.26,0.0
2023-06-30,2.5,$-0.23,0.0
2023-03-31,2.52,$-0.25,0.0
2022-12-31,2.76,$-0.28,0.0
2022-09-30,1.55,$-0.18,0.0
2022-06-30,2.71,$0.12,22.55
2022-03-31,3.12,$0.25,12.47
2021-12-31,4.84,$0.37,13.08
2021-09-30,5.82,$0.74,7.86
2021-06-30,12.31,$0.55,22.38
2021-03-31,13.59,$0.57,23.84
2020-12-31,13.9,$0.55,25.28
2020-09-30,16.71,$0.49,34.09
2020-06-30,13.02,$0.41,31.76
2020-03-31,11.82,$0.35,33.78
2019-12-31,12.52,$0.29,43.17
2019-09-30,16.49,$0.26,63.42
2019-06-30,17.24,$0.23,74.94
2019-03-31,19.62,$-1.92,0.0
