Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,154.38,,20.18
2025-01-31,180.35,$7.65,23.58
2024-10-31,181.17,$8.61,21.04
2024-07-31,211.3,$8.90,23.74
2024-04-30,197.44,$8.70,22.69
2024-01-31,163.03,$8.50,19.18
2023-10-31,131.04,$8.11,16.16
2023-07-31,149.77,$7.58,19.76
2023-04-30,111.38,$7.58,14.69
2023-01-31,109.6,$7.46,14.69
2022-10-31,86.59,$7.44,11.64
2022-07-31,103.67,$7.48,13.86
2022-04-30,107.69,$7.50,14.36
2022-01-31,134.6,$7.19,18.72
2021-10-31,132.89,$6.41,20.73
2021-07-31,135.84,$5.75,23.62
2021-04-30,128.6,$4.79,26.85
2021-01-31,93.52,$4.18,22.37
2020-10-31,57.13,$3.92,14.57
2020-07-31,61.84,$3.44,17.98
2020-04-30,47.57,$3.14,15.15
2020-01-31,55.35,$3.02,18.33
2019-10-31,51.61,$2.86,18.05
2019-07-31,46.75,$3.00,15.58
2019-04-30,41.52,$3.56,11.66
2019-01-31,36.63,$3.95,9.27
2018-10-31,30.64,$3.28,9.34
2018-07-31,45.11,$3.30,13.67
2018-04-30,45.89,$2.98,15.4
2018-01-31,49.46,$2.65,18.67
2017-10-31,51.96,$3.17,16.39
2017-07-31,40.71,$2.82,14.43
2017-04-30,37.22,$2.43,15.32
2017-01-31,31.31,$1.96,15.97
2016-10-31,26.5,$1.56,16.99
2016-07-31,23.88,$1.28,18.65
2016-04-30,18.51,$1.09,16.98
2016-01-31,15.88,$1.09,14.56
2015-10-31,15.0,$1.12,13.39
2015-07-31,15.43,$1.07,14.42
2015-04-30,17.51,$1.04,16.83
2015-01-31,20.12,$0.96,20.96
2014-10-31,19.38,$0.89,21.77
2014-07-31,18.3,$0.81,22.59
2014-04-30,16.56,$0.71,23.32
2014-01-31,14.54,$0.39,37.27
2013-10-31,15.34,$0.21,73.04
2013-07-31,13.93,$-0.36,0.0
2013-04-30,12.3,$-0.33,0.0
2013-01-31,10.87,$0.00,0.0
2012-10-31,8.85,$0.06,147.53
2012-07-31,9.03,$0.82,11.01
2012-04-30,9.85,$1.01,9.75
2012-01-31,10.02,$1.16,8.64
2011-10-31,9.99,$1.45,6.89
2011-07-31,9.92,$1.46,6.79
2011-04-30,12.56,$1.19,10.55
2011-01-31,12.5,$1.02,12.26
2010-10-31,9.79,$0.70,13.98
2010-07-31,9.29,$0.45,20.65
2010-04-30,10.79,$0.32,33.72
2010-01-31,9.49,$-0.07,0.0
2009-10-31,9.46,$-0.23,0.0
