Mesabi Trust PE Ratio Historical Data,Mesabi Trust PE Ratio Historical Data,Mesabi Trust PE Ratio Historical Data,Mesabi Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.01,,4.0
2024-10-31,24.12,$7.01,3.44
2024-07-31,17.3,$1.35,12.81
2024-04-30,15.55,$1.64,9.48
2024-01-31,18.55,$1.45,12.79
2023-10-31,19.09,$0.86,22.2
2023-07-31,18.04,$0.55,32.79
2023-04-30,21.29,$-0.52,0.0
2023-01-31,21.13,$0.44,48.02
2022-10-31,20.44,$2.00,10.22
2022-07-31,25.02,$3.22,7.77
2022-04-30,20.75,$5.63,3.69
2022-01-31,23.85,$5.24,4.55
2021-10-31,17.77,$4.67,3.81
2021-07-31,26.43,$3.84,6.88
2021-04-30,26.86,$2.31,11.63
2021-01-31,18.42,$1.78,10.35
2020-10-31,16.53,$1.41,11.72
2020-07-31,12.48,$1.49,8.38
2020-04-30,10.33,$2.04,5.06
2020-01-31,14.04,$2.29,6.13
2019-10-31,14.83,$2.42,6.13
2019-07-31,17.26,$2.99,5.77
2019-04-30,18.84,$3.37,5.59
2019-01-31,16.99,$3.48,4.88
2018-10-31,16.81,$2.96,5.68
2018-07-31,16.92,$1.92,8.81
2018-04-30,13.34,$1.48,9.01
2018-01-31,14.46,$1.26,11.47
2017-10-31,12.58,$1.60,7.86
2017-07-31,7.34,$1.84,3.99
2017-04-30,8.23,$1.02,8.06
2017-01-31,7.11,$0.73,9.75
2016-10-31,4.63,$0.60,7.71
2016-07-31,5.28,$0.54,9.77
2016-04-30,4.83,$0.55,8.79
2016-01-31,2.15,$0.65,3.31
2015-10-31,4.23,$0.87,4.86
2015-07-31,5.21,$1.57,3.32
2015-04-30,7.31,$1.95,3.75
2015-01-31,8.21,$1.89,4.34
2014-10-31,8.62,$1.85,4.66
2014-07-31,8.23,$1.44,5.72
2014-04-30,8.8,$1.45,6.07
2014-01-31,8.76,$1.61,5.44
2013-10-31,9.75,$1.58,6.17
2013-07-31,7.49,$2.00,3.74
2013-04-30,8.64,$2.25,3.84
2013-01-31,9.92,$3.08,3.22
2012-10-31,10.36,$3.20,3.24
2012-07-31,9.82,$3.36,2.92
2012-04-30,11.25,$3.30,3.41
2012-01-31,11.81,$2.53,4.67
2011-10-31,9.89,$2.45,4.04
2011-07-31,10.42,$2.27,4.59
2011-04-30,12.0,$2.34,5.13
2011-01-31,11.27,$2.47,4.56
2010-10-31,13.76,$2.57,5.35
2010-07-31,7.9,$2.07,3.82
2010-04-30,6.22,$1.25,4.97
2010-01-31,4.31,$0.95,4.54
2009-10-31,3.01,$0.66,4.56
