Oragenics PE Ratio Historical Data,Oragenics PE Ratio Historical Data,Oragenics PE Ratio Historical Data,Oragenics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.26,,0.0
2024-12-31,0.37,$-1.59,0.0
2024-09-30,0.38,$-7.07,0.0
2024-06-30,1.04,$-7.54,0.0
2024-03-31,1.44,$-8.54,0.0
2023-12-31,5.63,$-9.25,0.0
2023-09-30,2.97,$-3.77,0.0
2023-06-30,3.31,$-4.72,0.0
2023-03-31,3.29,$-5.00,0.0
2022-12-31,6.31,$-6.59,0.0
2022-09-30,13.62,$-7.78,0.0
2022-06-30,20.8,$-8.38,0.0
2022-03-31,20.67,$-8.38,0.0
2021-12-31,26.76,$-8.38,0.0
2021-09-30,38.08,$-10.18,0.0
2021-06-30,42.33,$-12.57,0.0
2021-03-31,54.41,$-25.15,0.0
2020-12-31,26.94,$-28.74,0.0
2020-09-30,34.5,$-30.54,0.0
2020-06-30,41.63,$-30.54,0.0
2020-03-31,34.8,$-22.16,0.0
2019-12-31,31.38,$-22.16,0.0
2019-09-30,32.41,$-22.75,0.0
2019-06-30,29.4,$-38.92,0.0
2019-03-31,35.1,$-55.69,0.0
2018-12-31,51.53,$-74.25,0.0
2018-09-30,69.0,$-68.86,0.0
2018-06-30,82.8,$-71.86,0.0
2018-03-31,104.4,$-61.08,0.0
2017-12-31,140.94,$-59.88,0.0
2017-09-30,252.0,$-89.82,0.0
2017-06-30,222.0,$-89.82,0.0
2017-03-31,263.46,$-83.83,0.0
2016-12-31,324.0,$-89.82,0.0
2016-09-30,276.0,$-95.81,0.0
2016-06-30,306.0,$-101.80,0.0
2016-03-31,540.0,$-197.60,0.0
2015-12-31,900.0,$-191.62,0.0
2015-09-30,982.8,$-173.65,0.0
2015-06-30,822.0,$-161.68,0.0
2015-03-31,612.0,$-89.82,0.0
2014-12-31,533.82,$-95.81,0.0
2014-09-30,750.0,$-131.74,0.0
2014-06-30,1170.0,$-317.37,0.0
2014-03-31,1722.0,$-335.33,0.0
2013-12-31,1686.0,$-341.32,0.0
2013-09-30,1800.0,$-329.34,0.0
2013-06-30,1860.0,$-125.75,0.0
2013-03-31,2010.0,$-389.22,0.0
2012-12-31,1584.0,$-502.99,0.0
2012-09-30,1320.0,$-658.68,0.0
2012-06-30,1470.0,$-850.30,0.0
2012-03-31,750.0,$-790.42,0.0
2011-12-31,606.0,$-808.38,0.0
2011-09-30,930.0,$-838.32,0.0
2011-06-30,1980.0,$-850.30,0.0
2011-03-31,1980.0,$-610.78,0.0
2010-12-31,1800.0,$-455.09,0.0
2010-09-30,3960.0,$-233.53,0.0
2010-06-30,4200.0,$-221.56,0.0
2010-03-31,6840.0,$-221.56,0.0
2009-12-31,3600.0,$-245.51,0.0
