Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.07,,8.37
2024-11-30,174.39,$14.34,12.16
2024-08-31,181.56,$15.10,12.02
2024-05-31,159.35,$14.71,10.83
2024-02-29,157.02,$14.27,11.0
2023-11-30,126.29,$13.76,9.18
2023-08-31,117.18,$13.49,8.69
2023-05-31,105.08,$14.65,7.17
2023-02-28,94.58,$16.13,5.86
2022-11-30,85.55,$15.76,5.43
2022-08-31,75.07,$15.12,4.96
2022-05-31,77.4,$14.61,5.3
2022-02-28,86.28,$12.77,6.76
2021-11-30,100.44,$14.28,7.03
2021-08-31,102.34,$13.19,7.76
2021-05-31,94.19,$10.79,8.73
2021-02-28,78.73,$9.79,8.04
2020-11-30,71.77,$7.86,9.13
2020-08-31,70.58,$7.17,9.84
2020-05-31,56.92,$6.64,8.57
2020-02-29,56.63,$6.29,9.0
2019-11-30,55.88,$5.76,9.7
2019-08-31,47.75,$6.05,7.89
2019-05-31,46.45,$5.83,7.97
2019-02-28,44.85,$5.47,8.2
2018-11-30,39.9,$5.26,7.59
2018-08-31,48.21,$4.13,11.67
2018-05-31,48.24,$3.82,12.63
2018-02-28,52.71,$3.79,13.91
2017-11-30,58.45,$3.42,17.09
2017-08-31,48.16,$3.47,13.88
2017-05-31,47.7,$3.42,13.95
2017-02-28,45.32,$3.46,13.1
2016-11-30,39.49,$3.93,10.05
2016-08-31,43.86,$3.80,11.54
2016-05-31,42.22,$3.75,11.26
2016-02-29,38.83,$3.59,10.81
2015-11-30,47.36,$3.46,13.69
2015-08-31,47.04,$3.32,14.17
2015-05-31,43.06,$3.14,13.71
2015-02-28,46.33,$2.96,15.65
2014-11-30,43.55,$2.81,15.5
2014-08-31,36.08,$2.47,14.61
2014-05-31,37.63,$2.23,16.87
2014-02-28,40.33,$2.23,18.08
2013-11-30,32.83,$2.14,15.34
2013-08-31,29.17,$1.97,14.81
2013-05-31,36.01,$1.83,19.68
2013-02-28,35.31,$3.28,10.76
2012-11-30,34.77,$3.10,11.22
2012-08-31,29.61,$2.70,10.97
2012-05-31,24.89,$2.41,10.33
2012-02-29,21.29,$0.42,50.68
2011-11-30,16.73,$0.48,34.86
2011-08-31,13.32,$0.49,27.19
2011-05-31,17.17,$0.54,31.79
2011-02-28,18.19,$0.68,26.76
2010-11-30,13.68,$0.50,27.36
2010-08-31,11.81,$0.52,22.72
2010-05-31,15.5,$-0.61,0.0
2010-02-28,14.67,$-1.58,0.0
2009-11-30,11.3,$-2.52,0.0
