Atlanta Braves Holdings PE Ratio Historical Data,Atlanta Braves Holdings PE Ratio Historical Data,Atlanta Braves Holdings PE Ratio Historical Data,Atlanta Braves Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.24,,0.0
2024-12-31,40.8,$-0.52,0.0
2024-09-30,42.15,$-0.73,0.0
2024-06-30,41.33,$-0.99,0.0
