ARM Holdings PE Ratio Historical Data,ARM Holdings PE Ratio Historical Data,ARM Holdings PE Ratio Historical Data,ARM Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,119.07,,156.67
2024-12-31,123.36,$0.76,162.32
2024-09-30,143.01,$0.60,238.35
2024-06-30,163.62,$0.39,419.54
