Koppers Holdings PE Ratio Historical Data,Koppers Holdings PE Ratio Historical Data,Koppers Holdings PE Ratio Historical Data,Koppers Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.77,,12.25
2024-12-31,32.4,$2.43,13.33
2024-09-30,36.46,$3.52,10.36
2024-06-30,36.86,$3.65,10.1
2024-03-31,54.88,$3.55,15.46
2023-12-31,50.89,$4.15,12.26
2023-09-30,39.24,$4.21,9.32
2023-06-30,33.78,$3.90,8.66
2023-03-31,34.57,$3.30,10.48
2022-12-31,27.83,$2.98,9.34
2022-09-30,20.47,$3.34,6.13
2022-06-30,22.26,$2.90,7.68
2022-03-31,27.01,$3.57,7.56
2021-12-31,30.67,$3.88,7.9
2021-09-30,30.63,$3.73,8.21
2021-06-30,31.69,$6.79,4.67
2021-03-31,34.06,$6.96,4.89
2020-12-31,30.53,$5.71,5.35
2020-09-30,20.49,$5.81,3.53
2020-06-30,18.46,$3.22,5.73
2020-03-31,12.12,$2.53,4.79
2019-12-31,37.44,$3.15,11.89
2019-09-30,28.62,$2.06,13.89
2019-06-30,28.76,$1.47,19.57
2019-03-31,25.45,$0.80,31.82
2018-12-31,16.69,$1.06,15.75
2018-09-30,30.52,$0.48,63.58
2018-06-30,37.57,$1.04,36.13
2018-03-31,40.27,$1.91,21.08
2017-12-31,49.87,$1.30,38.36
2017-09-30,45.21,$2.31,19.57
2017-06-30,35.42,$1.98,17.89
2017-03-31,41.49,$1.65,25.15
2016-12-31,39.48,$1.39,28.4
2016-09-30,31.53,$-3.18,0.0
2016-06-30,30.11,$-3.27,0.0
2016-03-31,22.01,$-3.40,0.0
2015-12-31,17.88,$-3.50,0.0
2015-09-30,19.76,$-0.86,0.0
2015-06-30,24.22,$-1.49,0.0
2015-03-31,19.28,$-1.85,0.0
2014-12-31,25.45,$-1.58,0.0
2014-09-30,32.22,$-0.15,0.0
2014-06-30,36.9,$0.91,40.55
2014-03-31,39.51,$1.52,25.99
2013-12-31,43.55,$1.94,22.45
2013-09-30,40.39,$2.79,14.48
2013-06-30,35.93,$2.64,13.61
2013-03-31,41.13,$2.93,14.04
2012-12-31,35.47,$3.15,11.26
2012-09-30,32.23,$1.81,17.81
2012-06-30,31.14,$2.12,14.69
2012-03-31,35.09,$2.10,16.71
2011-12-31,31.07,$1.78,17.46
2011-09-30,23.01,$2.72,8.46
2011-06-30,33.83,$2.39,14.16
2011-03-31,37.88,$2.21,17.14
2010-12-31,31.57,$2.14,14.75
2010-09-30,23.54,$1.23,19.14
2010-06-30,19.51,$1.28,15.24
2010-03-31,24.41,$1.07,22.81
2009-12-31,26.03,$0.91,28.6
