Oculis Holding AG PE Ratio Historical Data,Oculis Holding AG PE Ratio Historical Data,Oculis Holding AG PE Ratio Historical Data,Oculis Holding AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.64,,0.0
2024-12-31,17.0,$-2.31,0.0
2024-09-30,12.26,$-2.09,0.0
2024-06-30,11.95,$-1.96,0.0
