Acco Brands PE Ratio Historical Data,Acco Brands PE Ratio Historical Data,Acco Brands PE Ratio Historical Data,Acco Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.56,,0.0
2024-12-31,5.25,$-1.06,0.0
2024-09-30,5.4,$-1.89,0.0
2024-06-30,4.57,$-1.83,0.0
2024-03-31,5.38,$-0.27,0.0
2023-12-31,5.75,$-0.24,0.0
2023-09-30,5.35,$0.58,9.22
2023-06-30,4.78,$-0.30,0.0
2023-03-31,4.82,$-0.17,0.0
2022-12-31,4.99,$-0.16,0.0
2022-09-30,4.31,$0.19,22.71
2022-06-30,5.68,$1.13,5.03
2022-03-31,6.89,$1.23,5.6
2021-12-31,7.05,$1.05,6.72
2021-09-30,7.27,$0.81,8.98
2021-06-30,7.25,$0.80,9.07
2021-03-31,7.04,$0.36,19.57
2020-12-31,7.0,$0.65,10.77
2020-09-30,4.77,$0.78,6.11
2020-06-30,5.78,$0.86,6.72
2020-03-31,4.07,$1.15,3.54
2019-12-31,7.44,$1.06,7.02
2019-09-30,7.79,$0.96,8.11
2019-06-30,6.17,$1.02,6.05
2019-03-31,6.66,$0.91,7.32
2018-12-31,5.24,$1.01,5.19
2018-09-30,8.73,$1.35,6.47
2018-06-30,10.65,$1.29,8.26
2018-03-31,9.61,$1.26,7.63
2017-12-31,9.3,$1.20,7.75
2017-09-30,9.07,$0.58,15.63
2017-06-30,8.88,$0.51,17.4
2017-03-31,10.02,$0.87,11.52
2016-12-31,9.94,$0.88,11.3
2016-09-30,7.35,$1.11,6.62
2016-06-30,7.87,$1.20,6.56
2016-03-31,6.84,$0.88,7.78
2015-12-31,5.43,$0.79,6.88
2015-09-30,5.39,$0.88,6.12
2015-06-30,5.92,$0.87,6.8
2015-03-31,6.33,$0.80,7.91
2014-12-31,6.87,$0.78,8.8
2014-09-30,5.26,$0.83,6.33
2014-06-30,4.88,$0.77,6.34
2014-03-31,4.69,$0.67,7.01
2013-12-31,5.12,$0.66,7.76
2013-09-30,5.06,$0.12,42.16
2013-06-30,4.85,$0.37,13.1
2013-03-31,5.09,$1.27,4.01
2012-12-31,5.59,$1.04,5.38
2012-09-30,4.94,$1.31,3.77
2012-06-30,7.88,$1.03,7.65
2012-03-31,9.46,$0.80,11.82
2011-12-31,7.35,$0.96,7.66
2011-09-30,3.63,$0.92,3.95
2011-06-30,5.98,$0.82,7.29
2011-03-31,7.27,$0.16,45.43
2010-12-31,6.49,$0.22,29.51
2010-09-30,4.38,$0.12,36.51
2010-06-30,3.8,$0.04,95.05
2010-03-31,5.84,$-2.28,0.0
2009-12-31,5.55,$-2.32,0.0
