Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,233.54,,20.2
2024-12-31,234.7,$11.56,20.3
2024-09-30,247.17,$10.65,23.21
2024-06-30,212.36,$7.90,26.88
2024-03-31,250.66,$6.21,40.36
2023-12-31,231.25,$8.02,28.83
2023-09-30,191.31,$9.12,20.98
2023-06-30,218.99,$11.12,19.69
2023-03-31,203.39,$13.01,15.63
2022-12-31,235.16,$13.90,16.92
2022-09-30,198.99,$13.60,14.63
2022-06-30,214.67,$12.56,17.09
2022-03-31,268.09,$12.39,21.64
2021-12-31,278.57,$12.12,22.98
2021-09-30,223.02,$11.64,19.16
2021-06-30,246.35,$10.80,22.81
2021-03-31,248.38,$9.05,27.45
2020-12-31,218.91,$7.86,27.85
2020-09-30,196.33,$7.77,25.27
2020-06-30,160.31,$8.04,19.94
2020-03-31,132.58,$9.21,14.39
2019-12-31,175.51,$10.25,17.12
2019-09-30,161.59,$10.27,15.73
2019-06-30,178.36,$10.30,17.32
2019-03-31,166.52,$10.10,16.49
2018-12-31,132.57,$9.52,13.92
2018-09-30,159.25,$20.74,7.68
2018-06-30,132.49,$19.97,6.63
2018-03-31,118.64,$19.18,6.19
2017-12-31,125.99,$18.73,6.73
2017-09-30,114.46,$6.36,18.0
2017-06-30,104.77,$6.16,17.01
2017-03-31,95.9,$5.81,16.51
2016-12-31,92.09,$5.62,16.39
2016-09-30,82.18,$5.40,15.22
2016-06-30,71.6,$5.34,13.41
2016-03-31,69.55,$5.39,12.9
2015-12-31,70.06,$5.10,13.74
2015-09-30,62.81,$5.54,11.34
2015-06-30,71.32,$5.84,12.21
2015-03-31,83.53,$6.22,13.43
2014-12-31,88.46,$6.39,13.84
2014-09-30,89.6,$6.39,14.02
2014-06-30,82.27,$6.13,13.42
2014-03-31,77.15,$5.80,13.3
2013-12-31,73.27,$6.04,12.13
2013-09-30,60.69,$5.70,10.65
2013-06-30,56.6,$5.41,10.46
2013-03-31,59.66,$5.55,10.75
2012-12-31,47.52,$5.37,8.85
2012-09-30,48.5,$5.49,8.83
2012-06-30,54.33,$5.84,9.3
2012-03-31,49.52,$5.80,8.54
2011-12-31,54.45,$5.47,9.96
2011-09-30,45.34,$5.14,8.82
2011-06-30,55.34,$4.74,11.68
2011-03-31,50.88,$4.22,12.06
2010-12-31,45.84,$4.00,11.46
2010-09-30,43.18,$3.73,11.58
2010-06-30,38.25,$3.35,11.42
2010-03-31,40.06,$2.97,13.49
2009-12-31,37.31,$2.76,13.52
