Waldencast PE Ratio Historical Data,Waldencast PE Ratio Historical Data,Waldencast PE Ratio Historical Data,Waldencast PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.13,,inf
2024-06-30,3.59,0.0,0.0
2022-12-31,9.08,0.0,0.0
2022-06-30,9.85,0.0,0.0
2022-03-31,9.91,0.0,0.0
