ChargePoint Holdings PE Ratio Historical Data,ChargePoint Holdings PE Ratio Historical Data,ChargePoint Holdings PE Ratio Historical Data,ChargePoint Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.66,,0.0
2024-10-31,1.2,$-0.74,0.0
2024-07-31,2.17,$-0.99,0.0
2024-04-30,1.33,$-1.18,0.0
2024-01-31,1.9,$-1.24,0.0
2023-10-31,2.54,$-1.24,0.0
2023-07-31,8.66,$-1.06,0.0
2023-04-30,8.67,$-0.99,0.0
2023-01-31,12.14,$-1.03,0.0
2022-10-31,13.98,$-1.03,0.0
2022-07-31,15.11,$-0.99,0.0
2022-04-30,12.94,$-1.00,0.0
2022-01-31,13.85,$-1.57,0.0
2021-10-31,24.78,$-1.34,0.0
2021-07-31,23.65,$-1.13,0.0
2021-04-30,25.32,$-0.84,0.0
2021-01-31,38.06,0,0.0
2020-12-31,40.08,0,0.0
2020-10-31,13.23,0,0.0
2020-09-30,15.6,0,0.0
2020-07-31,10.2,0,0.0
2020-06-30,10.05,0,0.0
2020-04-30,9.78,0,0.0
