Joint PE Ratio Historical Data,Joint PE Ratio Historical Data,Joint PE Ratio Historical Data,Joint PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.76,,0.0
2024-12-31,10.63,$-0.39,0.0
2024-09-30,11.44,$-1.14,0.0
2024-06-30,14.06,$-0.98,0.0
2024-03-31,13.06,$-0.75,0.0
2023-12-31,9.61,$-0.66,0.0
2023-09-30,8.99,$0.13,69.15
2023-06-30,13.5,$0.21,64.29
2023-03-31,16.83,$0.24,70.13
2022-12-31,13.98,$0.08,174.75
2022-09-30,15.71,$0.05,314.2
2022-06-30,15.31,$0.15,102.07
2022-03-31,35.39,$0.31,114.16
2021-12-31,65.69,$0.48,136.85
2021-09-30,98.02,$1.19,82.37
2021-06-30,83.92,$1.17,71.73
2021-03-31,48.37,$1.00,48.37
2020-12-31,26.26,$0.90,29.18
2020-09-30,17.39,$0.27,64.41
2020-06-30,15.27,$0.20,76.35
2020-03-31,10.85,$0.22,49.32
2019-12-31,16.14,$0.23,70.17
2019-09-30,18.61,$0.20,93.05
2019-06-30,18.2,$0.15,121.33
2019-03-31,15.75,$0.12,131.25
2018-12-31,8.32,$0.02,416.0
2018-09-30,8.55,$-0.06,0.0
2018-06-30,8.18,$-0.08,0.0
2018-03-31,6.85,$-0.16,0.0
2017-12-31,4.96,$-0.26,0.0
2017-09-30,4.76,$-0.69,0.0
2017-06-30,3.8,$-0.87,0.0
2017-03-31,4.2,$-1.05,0.0
2016-12-31,2.65,$-1.20,0.0
2016-09-30,2.38,$-1.06,0.0
2016-06-30,2.03,$-1.02,0.0
2016-03-31,3.13,$-0.95,0.0
2015-12-31,5.97,$-0.87,0.0
2015-09-30,6.48,$-0.91,0.0
