Columbia Sportswear PE Ratio Historical Data,Columbia Sportswear PE Ratio Historical Data,Columbia Sportswear PE Ratio Historical Data,Columbia Sportswear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.36,,19.73
2024-12-31,83.93,$3.87,21.69
2024-09-30,82.88,$3.62,22.89
2024-06-30,78.49,$3.76,20.88
2024-03-31,80.29,$4.10,19.58
2023-12-31,78.37,$4.13,18.98
2023-09-30,72.73,$4.60,15.81
2023-06-30,75.51,$4.70,16.07
2023-03-31,87.88,$4.67,18.82
2022-12-31,84.99,$4.96,17.14
2022-09-30,65.07,$5.33,12.21
2022-06-30,68.94,$5.05,13.65
2022-03-31,86.85,$5.55,15.65
2021-12-31,93.16,$5.36,17.38
2021-09-30,91.4,$4.41,20.73
2021-06-30,93.57,$3.83,24.43
2021-03-31,100.23,$2.45,40.91
2020-12-31,82.71,$1.61,51.37
2020-09-30,82.33,$1.84,44.74
2020-06-30,76.27,$2.65,28.78
2020-03-31,66.04,$3.76,17.56
2019-12-31,94.5,$4.83,19.56
2019-09-30,91.14,$4.79,19.03
2019-06-30,93.98,$4.46,21.07
2019-03-31,97.51,$4.26,22.89
2018-12-31,78.52,$3.83,20.5
2018-09-30,86.68,$2.10,41.27
2018-06-30,84.98,$1.93,44.03
2018-03-31,70.83,$1.62,43.72
2017-12-31,66.42,$1.49,44.58
2017-09-30,56.73,$2.79,20.33
2017-06-30,53.32,$2.72,19.6
2017-03-31,53.78,$2.77,19.42
2016-12-31,53.19,$2.71,19.63
2016-09-30,51.61,$2.41,21.42
2016-06-30,52.18,$2.51,20.79
2016-03-31,54.32,$2.54,21.39
2015-12-31,43.95,$2.46,17.87
2015-09-30,52.81,$2.35,22.47
2015-06-30,54.19,$2.00,27.09
2015-03-31,54.44,$2.00,27.22
2014-12-31,39.71,$1.95,20.42
2014-09-30,31.78,$1.68,18.92
2014-06-30,36.57,$1.54,23.83
2014-03-31,36.45,$1.52,23.98
2013-12-31,34.62,$1.35,25.64
2013-09-30,26.38,$1.40,18.84
2013-06-30,27.34,$1.56,17.58
2013-03-31,25.17,$1.55,16.29
2012-12-31,23.11,$1.46,15.88
2012-09-30,23.24,$1.42,16.37
2012-06-30,23.03,$1.47,15.67
2012-03-31,20.28,$1.39,14.64
2011-12-31,19.81,$1.52,13.08
2011-09-30,19.66,$1.36,14.46
2011-06-30,26.75,$1.14,23.57
2011-03-31,24.99,$1.18,21.18
2010-12-31,25.28,$1.13,22.37
2010-09-30,23.75,$1.09,21.89
2010-06-30,18.9,$1.01,18.71
2010-03-31,21.2,$1.02,20.79
2009-12-31,15.69,$0.99,15.93
