Palo Alto Networks PE Ratio Historical Data,Palo Alto Networks PE Ratio Historical Data,Palo Alto Networks PE Ratio Historical Data,Palo Alto Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,184.01,,103.67
2025-01-31,184.42,$1.78,103.9
2024-10-31,180.17,$3.84,46.92
2024-07-31,162.37,$3.63,44.79
2024-04-30,145.45,$3.44,42.28
2024-01-31,169.26,$3.20,52.89
2023-10-31,121.51,$0.88,138.08
2023-07-31,124.98,$0.63,198.38
2023-04-30,91.23,$0.32,289.62
2023-01-31,79.32,$0.04,2161.31
2022-10-31,85.8,$-0.25,0.0
2022-07-31,83.18,$-0.45,0.0
2022-04-30,93.55,$-0.66,0.0
2022-01-31,86.23,$-0.79,0.0
2021-10-31,84.85,$-0.88,0.0
2021-07-31,66.51,$-0.86,0.0
2021-04-30,58.9,$-0.76,0.0
2021-01-31,58.46,$-0.64,0.0
2020-10-31,36.87,$-0.52,0.0
2020-07-31,42.65,$-0.46,0.0
2020-04-30,32.75,$-0.39,0.0
2020-01-31,39.13,$-0.30,0.0
2019-10-31,37.9,$-0.18,0.0
2019-07-31,37.76,$-0.15,0.0
2019-04-30,41.47,$-0.11,0.0
2019-01-31,35.8,$-0.16,0.0
2018-10-31,30.51,$-0.22,0.0
2018-07-31,33.04,$-0.27,0.0
2018-04-30,32.09,$-0.34,0.0
2018-01-31,26.31,$-0.36,0.0
2017-10-31,24.53,$-0.41,0.0
2017-07-31,21.96,$-0.41,0.0
2017-04-30,18.07,$-0.44,0.0
2017-01-31,24.59,$-0.46,0.0
2016-10-31,25.64,$-0.47,0.0
2016-07-31,21.82,$-0.43,0.0
2016-04-30,25.15,$-0.42,0.0
2016-01-31,24.92,$-0.38,0.0
2015-10-31,26.83,$-0.35,0.0
2015-07-31,30.97,$-0.34,0.0
2015-04-30,24.62,$-0.31,0.0
2015-01-31,21.07,$-0.53,0.0
2014-10-31,17.62,$-0.53,0.0
2014-07-31,13.48,$-0.49,0.0
2014-04-30,10.6,$-0.46,0.0
2014-01-31,9.91,$-0.16,0.0
2013-10-31,7.03,$-0.08,0.0
2013-07-31,8.16,$-0.07,0.0
2013-04-30,9.02,$-0.06,0.0
