Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.43,,12.56
2024-12-31,42.28,$3.14,13.46
2024-09-30,42.84,$3.01,14.23
2024-06-30,36.18,$3.14,11.52
2024-03-31,36.54,$3.15,11.6
2023-12-31,33.55,$3.23,10.39
2023-09-30,24.39,$3.52,6.93
2023-06-30,24.89,$3.52,7.07
2023-03-31,24.99,$3.46,7.22
2022-12-31,30.39,$3.36,9.05
2022-09-30,29.31,$3.25,9.02
2022-06-30,30.5,$3.31,9.22
2022-03-31,38.73,$3.49,11.1
2021-12-31,38.93,$3.74,10.41
2021-09-30,37.68,$3.62,10.41
2021-06-30,33.71,$3.43,9.83
2021-03-31,32.79,$2.72,12.05
2020-12-31,23.97,$1.83,13.1
2020-09-30,18.12,$2.01,9.01
2020-06-30,16.39,$1.94,8.45
2020-03-31,12.44,$2.28,5.46
2019-12-31,25.32,$3.36,7.54
2019-09-30,22.38,$3.04,7.36
2019-06-30,22.61,$2.94,7.69
2019-03-31,20.26,$3.17,6.39
2018-12-31,18.74,$3.02,6.2
2018-09-30,22.03,$3.05,7.22
2018-06-30,22.5,$3.79,5.94
2018-03-31,24.73,$3.44,7.19
2017-12-31,23.51,$2.85,8.25
2017-09-30,21.57,$2.67,8.08
2017-06-30,19.9,$1.97,10.1
2017-03-31,19.36,$1.92,10.09
2016-12-31,20.45,$1.94,10.54
2016-09-30,15.43,$2.24,6.89
2016-06-30,13.18,$2.04,6.46
2016-03-31,12.41,$2.00,6.21
2015-12-31,14.83,$2.04,7.27
2015-09-30,13.87,$1.68,8.25
2015-06-30,15.16,$1.62,9.36
2015-03-31,13.64,$1.75,7.8
2014-12-31,14.65,$1.67,8.77
2014-09-30,14.3,$1.67,8.56
2014-06-30,15.15,$1.75,8.66
2014-03-31,16.19,$1.92,8.43
2013-12-31,14.76,$2.02,7.31
2013-09-30,12.59,$2.02,6.23
2013-06-30,12.51,$1.93,6.48
2013-03-31,11.23,$1.67,6.72
2012-12-31,10.4,$1.66,6.26
2012-09-30,10.53,$1.56,6.75
2012-06-30,9.05,$1.58,5.73
2012-03-31,9.42,$1.53,6.16
2011-12-31,8.49,$1.18,7.19
2011-09-30,6.7,$1.18,5.67
2011-06-30,8.39,$1.00,8.39
2011-03-31,9.09,$0.81,11.22
2010-12-31,9.57,$0.62,15.43
2010-09-30,7.84,$0.09,87.06
2010-06-30,8.0,$-0.33,0.0
2010-03-31,8.82,$0.66,13.36
2009-12-31,6.34,$0.71,8.92
