PMV Pharmaceuticals PE Ratio Historical Data,PMV Pharmaceuticals PE Ratio Historical Data,PMV Pharmaceuticals PE Ratio Historical Data,PMV Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.26,,0.0
2024-12-31,1.51,$-1.14,0.0
2024-09-30,1.49,$-1.00,0.0
2024-06-30,1.62,$-0.97,0.0
2024-03-31,1.7,$-1.33,0.0
2023-12-31,3.1,$-1.45,0.0
2023-09-30,6.14,$-1.57,0.0
2023-06-30,6.26,$-1.63,0.0
2023-03-31,4.77,$-1.63,0.0
2022-12-31,8.7,$-1.62,0.0
2022-09-30,11.9,$-1.60,0.0
2022-06-30,14.25,$-1.53,0.0
2022-03-31,20.82,$-1.44,0.0
2021-12-31,23.1,$-1.29,0.0
2021-09-30,29.8,$2.65,11.25
2021-06-30,34.16,$1.52,22.47
