First Internet Bancorp PE Ratio Historical Data,First Internet Bancorp PE Ratio Historical Data,First Internet Bancorp PE Ratio Historical Data,First Internet Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.81,,9.62
2024-12-31,35.99,$2.89,12.45
2024-09-30,34.26,$2.54,13.49
2024-06-30,26.97,$2.13,12.66
2024-03-31,34.6,$1.90,18.21
2023-12-31,24.05,$1.17,20.56
2023-09-30,16.08,$1.37,11.74
2023-06-30,14.68,$1.87,7.85
2023-03-31,16.39,$2.42,6.77
2022-12-31,23.82,$3.70,6.44
2022-09-30,33.13,$4.27,7.76
2022-06-30,35.97,$4.59,7.84
2022-03-31,41.94,$4.91,8.54
2021-12-31,45.81,$4.82,9.5
2021-09-30,30.33,$4.69,6.47
2021-06-30,30.07,$4.34,6.93
2021-03-31,34.13,$3.43,9.95
2020-12-31,27.8,$3.00,9.27
2020-09-30,14.22,$2.60,5.47
2020-06-30,15.98,$2.37,6.74
2020-03-31,15.73,$2.57,6.12
2019-12-31,22.63,$2.51,9.02
2019-09-30,20.38,$2.14,9.53
2019-06-30,20.45,$2.12,9.65
2019-03-31,18.3,$2.19,8.36
2018-12-31,19.29,$2.34,8.24
2018-09-30,28.65,$2.40,11.94
2018-06-30,32.02,$2.50,12.81
2018-03-31,34.68,$2.44,14.21
2017-12-31,35.7,$2.16,16.53
2017-09-30,30.18,$2.39,12.63
2017-06-30,26.16,$2.23,11.73
2017-03-31,27.45,$2.19,12.54
2016-12-31,29.72,$2.29,12.98
2016-09-30,21.41,$2.15,9.96
2016-06-30,22.03,$2.11,10.44
2016-03-31,21.55,$2.04,10.57
2015-12-31,26.39,$1.97,13.4
2015-09-30,29.33,$1.79,16.39
2015-06-30,22.45,$1.56,14.39
2015-03-31,16.98,$1.28,13.26
2014-12-31,15.25,$0.95,16.05
2014-09-30,14.63,$0.82,17.85
2014-06-30,18.63,$0.79,23.58
2014-03-31,20.53,$1.16,17.7
2013-12-31,20.24,$1.54,13.14
2013-09-30,23.89,$1.89,12.64
2013-06-30,18.8,$1.64,11.46
2013-03-31,15.23,$1.05,14.51
2012-12-31,12.46,$0.54,23.08
2012-09-30,9.38,0,0.0
2012-06-30,8.24,0,0.0
2012-03-31,7.91,0,0.0
2011-12-31,5.48,0,0.0
2011-06-30,6.01,0,0.0
2011-03-31,6.04,0,0.0
2010-12-31,6.45,0,0.0
2010-09-30,7.33,0,0.0
2010-06-30,5.86,0,0.0
2010-03-31,4.16,0,0.0
2009-12-31,3.9,0,0.0
