BRT Apartments PE Ratio Historical Data,BRT Apartments PE Ratio Historical Data,BRT Apartments PE Ratio Historical Data,BRT Apartments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.19,,0.0
2024-12-31,18.03,$-0.42,0.0
2024-09-30,17.58,$-0.53,0.0
2024-06-30,17.23,$-0.49,0.0
2024-03-31,16.33,$0.22,74.25
2023-12-31,17.79,$0.18,98.86
2023-09-30,16.07,$0.07,229.61
2023-06-30,18.43,$0.52,35.44
2023-03-31,18.12,$1.85,9.79
2022-12-31,17.81,$2.71,6.57
2022-09-30,18.18,$2.85,6.38
2022-06-30,19.0,$4.03,4.72
2022-03-31,20.95,$2.46,8.52
2021-12-31,20.77,$1.59,13.06
2021-09-30,16.49,$1.48,11.14
2021-06-30,14.65,$-0.51,0.0
2021-03-31,14.06,$-1.10,0.0
2020-12-31,12.53,$-1.17,0.0
2020-09-30,9.57,$-0.98,0.0
2020-06-30,8.62,$-0.34,0.0
2020-03-31,8.0,$-0.36,0.0
2019-12-31,12.93,$-0.34,0.0
2019-09-30,10.97,$0.17,64.52
2019-06-30,10.47,$-0.23,0.0
2019-03-31,10.13,$-0.29,0.0
2018-12-31,8.23,$1.73,4.76
2018-09-30,8.51,$1.67,5.1
2018-06-30,8.86,$1.87,4.74
2018-03-31,8.04,$1.96,4.1
2017-12-31,7.93,$-0.09,0.0
2017-09-30,7.1,$0.59,12.03
2017-06-30,5.12,$0.59,8.67
2017-03-31,5.41,$1.22,4.43
2016-12-31,5.33,$3.28,1.63
2016-09-30,5.21,$2.01,2.59
2016-06-30,4.65,$2.01,2.32
2016-03-31,4.52,$1.44,3.14
2015-12-31,4.13,$-0.37,0.0
2015-09-30,4.61,$-0.41,0.0
2015-06-30,4.58,$-0.41,0.0
2015-03-31,4.65,$-0.25,0.0
2014-12-31,4.54,$-0.38,0.0
2014-09-30,4.88,$-0.39,0.0
2014-06-30,4.8,$-0.39,0.0
2014-03-31,4.64,$-0.33,0.0
2013-12-31,4.6,$-0.08,0.0
2013-09-30,4.67,$0.02,233.34
2013-06-30,4.56,$0.14,32.54
2013-03-31,4.57,$0.09,50.77
2012-12-31,4.23,$-0.05,0.0
2012-09-30,4.23,$0.32,13.22
2012-06-30,4.23,$0.20,21.15
2012-03-31,4.55,$0.44,10.34
2011-12-31,4.13,$0.64,6.45
2011-09-30,4.05,$0.32,12.65
2011-06-30,4.11,$0.24,17.11
2011-03-31,4.21,$-0.20,0.0
2010-12-31,4.66,$-0.43,0.0
2010-09-30,4.16,$-0.58,0.0
2010-06-30,3.84,$-0.50,0.0
2010-03-31,4.3,$-0.74,0.0
2009-12-31,3.32,$-4.26,0.0
