Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,74.41,,28.51
2024-12-31,80.77,$2.61,30.95
2024-09-30,83.39,$2.51,33.22
2024-06-30,74.72,$1.34,55.76
2024-03-31,73.2,$-10.23,0.0
2023-12-31,58.97,$-11.24,0.0
2023-09-30,53.79,$-40.94,0.0
2023-06-30,52.73,$-39.77,0.0
2023-03-31,51.88,$-28.18,0.0
2022-12-31,64.23,$-28.22,0.0
2022-09-30,71.05,$1.53,46.44
2022-06-30,85.72,$1.38,62.12
2022-03-31,93.46,$1.48,63.15
2021-12-31,101.06,$0.68,148.62
2021-09-30,112.25,$0.37,303.37
2021-06-30,130.29,$0.14,930.63
2021-03-31,128.97,$-0.38,0.0
2020-12-31,129.4,$0.24,539.16
2020-09-30,134.34,$-0.18,0.0
2020-06-30,122.07,$0.08,1525.93
2020-03-31,110.45,$0.52,212.41
2019-12-31,125.92,$0.95,132.55
2019-09-30,119.89,$2.12,56.55
2019-06-30,110.49,$2.30,48.04
2019-03-31,101.57,$2.47,41.12
2018-12-31,91.8,$2.56,35.86
2018-09-30,97.34,$4.58,21.25
2018-06-30,94.35,$4.29,21.99
2018-03-31,85.44,$4.05,21.1
2017-12-31,83.21,$3.92,21.23
2017-09-30,82.34,$1.62,50.83
2017-06-30,75.06,$2.00,37.53
2017-03-31,69.74,$1.97,35.4
2016-12-31,66.03,$1.73,38.16
2016-09-30,67.01,$1.45,46.21
2016-06-30,63.88,$1.51,42.3
2016-03-31,54.69,$1.98,27.62
2015-12-31,52.14,$2.20,23.7
2015-09-30,57.47,$2.53,22.71
2015-06-30,52.74,$2.43,21.7
2015-03-31,57.85,$2.21,26.18
2014-12-31,52.66,$2.35,22.41
2014-09-30,47.47,$1.92,24.73
2014-06-30,45.96,$1.99,23.1
2014-03-31,44.68,$1.73,25.83
2013-12-31,44.67,$1.69,26.43
2013-09-30,38.48,$1.90,20.25
2013-06-30,35.33,$1.60,22.08
2013-03-31,32.51,$1.74,18.68
2012-12-31,28.4,$1.54,18.44
2012-09-30,25.33,$1.47,17.23
2012-06-30,27.48,$1.62,16.96
2012-03-31,26.54,$1.52,17.46
2011-12-31,21.17,$1.53,13.84
2011-09-30,19.33,$1.50,12.89
2011-06-30,24.42,$1.39,17.57
2011-03-31,25.89,$1.22,21.22
2010-12-31,21.66,$1.17,18.51
2010-09-30,21.41,$0.67,31.96
2010-06-30,21.13,$0.69,30.62
2010-03-31,18.43,$0.77,23.94
2009-12-31,18.39,$0.69,26.66
