Innovid PE Ratio Historical Data,Innovid PE Ratio Historical Data,Innovid PE Ratio Historical Data,Innovid PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,3.17,,0.0
2024-09-30,1.8,$-0.09,0.0
2024-06-30,1.85,$-0.14,0.0
2024-03-31,2.49,$-0.13,0.0
2023-12-31,1.5,$-0.12,0.0
2023-09-30,1.28,$-0.20,0.0
2023-03-31,1.41,$-0.15,0.0
2022-12-31,1.71,$-0.15,0.0
2022-09-30,2.71,$-0.71,0.0
2022-06-30,1.66,$-0.76,0.0
2022-03-31,6.04,$-0.79,0.0
2021-12-31,6.65,$-0.73,0.0
