U.S Physical Therapy PE Ratio Historical Data,U.S Physical Therapy PE Ratio Historical Data,U.S Physical Therapy PE Ratio Historical Data,U.S Physical Therapy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,74.69,,40.59
2024-12-31,88.71,$1.84,48.21
2024-09-30,84.22,$0.94,89.59
2024-06-30,91.5,$1.06,86.32
2024-03-31,111.27,$1.23,90.46
2023-12-31,91.44,$1.35,67.73
2023-09-30,89.61,$1.72,52.1
2023-06-30,118.08,$1.93,61.18
2023-03-31,94.88,$2.16,43.93
2022-12-31,78.17,$2.25,34.74
2022-09-30,72.99,$2.99,24.41
2022-06-30,104.33,$2.93,35.61
2022-03-31,94.64,$2.88,32.86
2021-12-31,90.54,$2.42,37.41
2021-09-30,104.4,$2.37,44.05
2021-06-30,108.99,$2.32,46.98
2021-03-31,97.63,$2.49,39.21
2020-12-31,112.44,$2.48,45.34
2020-09-30,81.24,$2.35,34.57
2020-06-30,75.76,$2.40,31.57
2020-03-31,64.52,$2.26,28.55
2019-12-31,106.51,$2.45,43.48
2019-09-30,121.29,$2.33,52.05
2019-06-30,113.62,$1.80,63.12
2019-03-31,97.13,$1.43,67.93
2018-12-31,94.41,$1.31,72.07
2018-09-30,109.19,$1.45,75.3
2018-06-30,88.2,$1.73,50.98
2018-03-31,74.51,$1.64,45.43
2017-12-31,65.99,$1.75,37.71
2017-09-30,56.0,$1.66,33.73
2017-06-30,54.85,$1.71,32.08
2017-03-31,58.94,$1.89,31.18
2016-12-31,63.36,$1.94,32.66
2016-09-30,56.44,$1.94,29.09
2016-06-30,54.04,$1.95,27.71
2016-03-31,44.5,$1.89,23.55
2015-12-31,47.87,$1.80,26.6
2015-09-30,39.91,$1.73,23.07
2015-06-30,48.55,$1.69,28.73
2015-03-31,41.99,$1.71,24.55
2014-12-31,36.97,$1.72,21.5
2014-09-30,31.09,$1.63,19.07
2014-06-30,29.94,$1.22,24.54
2014-03-31,30.15,$1.10,27.41
2013-12-31,30.64,$1.06,28.91
2013-09-30,26.92,$1.08,24.93
2013-06-30,23.86,$1.44,16.57
2013-03-31,23.09,$1.44,16.03
2012-12-31,23.58,$1.51,15.62
2012-09-30,23.22,$1.86,12.49
2012-06-30,21.3,$1.82,11.7
2012-03-31,19.24,$1.82,10.57
2011-12-31,16.35,$1.75,9.35
2011-09-30,15.33,$1.41,10.87
2011-06-30,20.38,$1.40,14.56
2011-03-31,18.35,$1.37,13.4
2010-12-31,16.16,$1.33,12.15
2010-09-30,13.63,$1.17,11.65
2010-06-30,13.76,$1.10,12.51
2010-03-31,14.18,$1.03,13.77
2009-12-31,13.8,$0.99,13.94
