Enerpac Tool Group PE Ratio Historical Data,Enerpac Tool Group PE Ratio Historical Data,Enerpac Tool Group PE Ratio Historical Data,Enerpac Tool Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.34,,26.43
2024-11-30,48.26,$1.64,29.43
2024-08-31,41.24,$1.56,26.44
2024-05-31,39.32,$1.52,25.87
2024-02-29,33.71,$1.27,26.54
2023-11-30,27.3,$1.02,26.76
2023-08-31,26.16,$0.83,31.52
2023-05-31,25.38,$0.62,40.94
2023-02-28,26.89,$0.43,62.54
2022-11-30,25.0,$0.37,67.58
2022-08-31,19.33,$0.29,66.67
2022-05-31,19.45,$0.19,102.39
2022-02-28,17.19,$0.57,30.16
2021-11-30,21.04,$0.60,35.06
2021-08-31,25.07,$0.63,39.8
2021-05-31,27.31,$0.56,48.76
2021-02-28,24.62,$0.07,351.66
2020-11-30,22.31,$0.06,371.9
2020-08-31,20.68,$0.01,2068.44
