Yatra Online PE Ratio Historical Data,Yatra Online PE Ratio Historical Data,Yatra Online PE Ratio Historical Data,Yatra Online PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.83,,inf
2024-12-31,1.26,0,0.0
2024-09-30,1.71,$-0.02,0.0
2024-06-30,1.19,$-0.07,0.0
2024-03-31,1.59,$-0.07,0.0
2023-12-31,1.63,$-0.08,0.0
2023-09-30,2.01,$-0.11,0.0
2023-06-30,1.98,$-0.07,0.0
2023-03-31,2.28,$-0.06,0.0
2022-12-31,2.41,$-0.07,0.0
2022-09-30,2.23,$-0.06,0.0
2022-06-30,2.25,$-0.08,0.0
2022-03-31,1.98,$-0.10,0.0
2021-12-31,1.73,$-0.21,0.0
2021-09-30,2.02,$-0.23,0.0
2021-06-30,2.26,$-0.27,0.0
2021-03-31,2.33,$-0.27,0.0
2020-12-31,1.93,$-0.11,0.0
2020-09-30,0.75,$-0.18,0.0
2020-06-30,0.68,$-0.15,0.0
2019-12-31,3.15,$-0.29,0.0
2019-09-30,4.12,$-0.22,0.0
2018-09-30,5.58,$-0.44,0.0
2018-03-31,6.61,$-1.82,0.0
2017-12-31,7.48,$-2.03,0.0
2017-09-30,10.83,$-5.05,0.0
