Enbridge Inc PE Ratio Historical Data,Enbridge Inc PE Ratio Historical Data,Enbridge Inc PE Ratio Historical Data,Enbridge Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.23,,25.72
2024-12-31,42.43,$1.72,24.67
2024-09-30,39.75,$2.16,18.4
2024-06-30,34.24,$1.92,17.83
2024-03-31,34.19,$1.97,17.36
2023-12-31,33.36,$2.10,15.89
2023-09-30,30.15,$1.11,27.17
2023-06-30,33.14,$1.40,23.67
2023-03-31,33.46,$0.89,37.6
2022-12-31,33.73,$1.01,33.4
2022-09-30,31.5,$2.11,14.93
2022-06-30,35.34,$1.90,18.6
2022-03-31,37.95,$2.29,16.57
2021-12-31,31.66,$2.26,14.01
2021-09-30,31.72,$2.22,14.29
2021-06-30,31.38,$2.32,13.53
2021-03-31,28.03,$2.35,11.93
2020-12-31,24.18,$1.10,21.98
2020-09-30,21.61,$0.71,30.44
2020-06-30,22.1,$0.70,31.57
2020-03-31,20.74,$0.75,27.66
2019-12-31,27.95,$1.99,14.05
2019-09-30,24.3,$2.16,11.25
2019-06-30,24.58,$1.76,13.96
2019-03-31,24.33,$1.61,15.11
2018-12-31,20.54,$1.16,17.7
2018-09-30,21.01,$0.80,26.26
2018-06-30,22.89,$1.31,17.47
2018-03-31,19.87,$1.24,16.02
2017-12-31,24.31,$1.39,17.49
2017-09-30,25.66,$1.59,16.14
2017-06-30,24.12,$1.03,23.41
2017-03-31,25.07,$0.86,29.15
2016-12-31,24.98,$1.46,17.11
2016-09-30,25.99,$1.50,17.32
2016-06-30,24.65,$0.98,25.15
2016-03-31,22.41,$1.28,17.51
2015-12-31,18.88,$-0.11,0.0
2015-09-30,20.93,$-0.36,0.0
2015-06-30,26.15,$0.16,163.44
2015-03-31,26.9,$0.60,44.83
2014-12-31,28.3,$1.41,20.07
2014-09-30,26.18,$1.04,25.17
2014-06-30,25.79,$1.62,15.92
2014-03-31,24.56,$0.68,36.11
2013-12-31,23.39,$0.56,41.78
2013-09-30,22.2,$1.03,21.55
2013-06-30,22.22,$0.78,28.48
2013-03-31,24.41,$0.74,32.99
2012-12-31,22.56,$0.77,29.3
2012-09-30,20.18,$1.03,19.59
2012-06-30,20.49,$0.80,25.62
2012-03-31,19.81,$1.14,17.37
2011-12-31,18.93,$1.34,14.13
2011-09-30,16.05,$1.34,12.02
2011-06-30,16.19,$1.53,10.58
2011-03-31,15.2,$1.36,11.17
2010-12-31,13.83,$1.27,10.89
2010-09-30,12.73,$1.22,10.48
2010-06-30,11.24,$1.40,8.06
2010-03-31,11.42,$1.72,6.66
2009-12-31,10.96,$1.92,5.71
