Mizuho Financial PE Ratio Historical Data,Mizuho Financial PE Ratio Historical Data,Mizuho Financial PE Ratio Historical Data,Mizuho Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.89,,15.1
2024-12-31,4.89,$0.39,12.54
2024-06-30,4.14,$0.57,7.27
2023-06-30,2.95,$0.51,5.79
2022-06-30,2.05,$0.49,4.19
2021-06-30,2.49,$0.51,4.88
2020-06-30,2.05,$0.41,5.01
2019-06-30,2.28,$0.42,5.42
2018-06-30,2.57,$0.40,6.43
2017-06-30,2.68,$0.34,7.9
2016-06-30,2.01,$0.37,5.43
2015-06-30,2.94,$0.41,7.17
2015-03-31,2.41,$0.43,5.6
2014-12-31,2.3,$0.47,4.9
2014-09-30,2.42,$0.47,5.15
2014-06-30,2.79,$0.47,5.93
2014-03-31,2.7,$0.55,4.9
2013-12-31,2.96,$0.62,4.77
2013-09-30,2.93,$0.69,4.24
2013-06-30,2.77,$0.55,5.03
2013-03-31,2.86,$0.53,5.4
2012-12-31,2.42,$0.58,4.17
2012-09-30,2.14,$0.41,5.21
2012-06-30,2.16,$0.58,3.72
2012-03-31,2.09,$0.50,4.19
2011-12-31,1.7,$0.26,6.55
2011-09-30,1.81,$0.32,5.66
2011-06-30,2.03,$0.35,5.81
2011-03-31,2.06,$0.44,4.68
2010-12-31,2.24,$0.61,3.67
2010-09-30,1.71,$0.73,2.34
2010-06-30,1.94,$0.53,3.66
2010-03-31,2.35,$0.33,7.12
2009-12-31,2.04,$0.18,11.35
