SFL PE Ratio Historical Data,SFL PE Ratio Historical Data,SFL PE Ratio Historical Data,SFL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.49,,9.87
2024-12-31,10.22,$0.86,11.88
2024-09-30,11.27,$1.11,10.15
2024-06-30,13.19,$1.00,13.19
2024-03-31,12.29,$0.97,12.67
2023-12-31,10.31,$0.66,15.62
2023-09-30,9.97,$0.79,12.62
2023-06-30,8.16,$0.95,8.59
2023-03-31,8.1,$1.27,6.37
2022-12-31,7.66,$1.59,4.82
2022-09-30,7.39,$1.84,4.02
2022-06-30,7.54,$1.71,4.41
2022-03-31,7.91,$1.41,5.61
2021-12-31,6.21,$1.31,4.74
2021-09-30,6.24,$0.83,7.52
2021-06-30,5.59,$0.68,8.22
2021-03-31,5.76,$0.53,10.87
2020-09-30,5.17,$0.52,9.94
2020-06-30,6.24,$0.68,9.17
2019-09-30,8.71,$0.60,14.51
2019-06-30,7.58,$0.88,8.61
2019-03-31,7.26,$0.77,9.43
2018-12-31,6.02,$0.70,8.6
2018-09-30,7.72,$0.87,8.88
2018-06-30,8.1,$0.90,9.0
2018-03-31,7.57,$0.97,7.81
2017-12-31,8.01,$1.08,7.42
2017-09-30,7.32,$1.19,6.15
2017-06-30,6.7,$1.23,5.45
2017-03-31,7.0,$1.43,4.9
2016-12-31,6.86,$1.58,4.34
2016-09-30,6.6,$1.85,3.57
2016-06-30,6.41,$1.99,3.22
2016-03-31,5.87,$2.30,2.55
2015-12-31,6.78,$2.15,3.15
2015-09-30,6.47,$1.84,3.52
2015-06-30,6.32,$1.72,3.68
2015-03-31,5.59,$1.23,4.54
2014-12-31,5.19,$1.32,3.93
2014-09-30,6.03,$1.25,4.82
2014-06-30,6.49,$1.02,6.36
2014-03-31,6.14,$1.07,5.73
2013-12-31,5.47,$1.01,5.42
2013-09-30,4.98,$1.41,3.53
2013-06-30,4.72,$1.71,2.76
2013-03-31,5.47,$2.19,2.5
2012-12-31,5.16,$2.30,2.24
2012-09-30,4.76,$2.08,2.29
2012-06-30,4.63,$1.99,2.33
2012-03-31,4.42,$1.74,2.54
2011-12-31,2.64,$1.66,1.59
2011-09-30,3.54,$1.67,2.12
2011-06-30,4.78,$1.76,2.72
2011-03-31,5.38,$1.79,3.01
2010-12-31,5.48,$2.10,2.61
2010-09-30,4.87,$2.51,1.94
2010-06-30,4.4,$2.51,1.75
2010-03-31,4.29,$2.68,1.6
2009-12-31,3.24,$2.55,1.27
