Siyata Mobile PE Ratio Historical Data,Siyata Mobile PE Ratio Historical Data,Siyata Mobile PE Ratio Historical Data,Siyata Mobile PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.08,,0.0
2024-09-30,0.92,"$-3,573.60",0.0
2024-06-30,0.8,"$-4,878.56",0.0
2024-03-31,3.6,"$-7,493.08",0.0
2023-12-31,4.21,"$-22,973.78",0.0
2023-09-30,2.82,"$-44,127.06",0.0
2023-06-30,0.05,"$-46,593.95",0.0
2023-03-31,0.15,"$-79,292.77",0.0
2022-12-31,0.15,"$-110,758.15",0.0
2022-09-30,0.31,"$-211,447.37",0.0
2022-06-30,1.09,"$-356,188.12",0.0
2022-03-31,1.25,"$-604,135.28",0.0
2021-12-31,3.7,"$-612,945.59",0.0
2021-09-30,3.45,"$-489,601.29",0.0
2021-06-30,8.59,"$-582,738.79",0.0
