National Vision Holdings PE Ratio Historical Data,National Vision Holdings PE Ratio Historical Data,National Vision Holdings PE Ratio Historical Data,National Vision Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.82,,0.0
2024-12-31,10.42,$-0.36,0.0
2024-09-30,10.91,$-0.20,0.0
2024-06-30,13.09,$-1.03,0.0
2024-03-31,22.16,$-0.92,0.0
2023-12-31,20.93,$-0.85,0.0
2023-09-30,16.18,$-0.77,0.0
2023-06-30,24.29,$0.32,75.91
2023-03-31,18.84,$0.37,50.92
2022-12-31,38.76,$0.49,79.1
2022-09-30,32.65,$0.68,48.01
2022-06-30,27.5,$0.98,28.06
2022-03-31,43.57,$1.28,34.04
2021-12-31,47.99,$1.42,33.8
2021-09-30,56.77,$1.77,32.07
2021-06-30,51.13,$1.74,29.39
2021-03-31,43.83,$0.77,56.92
2020-12-31,45.29,$0.41,110.46
2020-09-30,38.24,$0.04,956.0
2020-06-30,30.52,$-0.37,0.0
2020-03-31,19.42,$0.31,62.65
2019-12-31,32.43,$0.40,81.08
2019-09-30,24.07,$0.11,218.82
2019-06-30,30.73,$0.17,180.76
2019-03-31,31.43,$0.21,149.67
2018-12-31,28.17,$0.32,88.03
2018-09-30,45.14,$0.95,47.52
