Altria PE Ratio Historical Data,Altria PE Ratio Historical Data,Altria PE Ratio Historical Data,Altria PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,58.09,,8.87
2024-12-31,52.29,$6.55,7.98
2024-09-30,51.04,$5.92,8.62
2024-06-30,44.67,$5.80,7.7
2024-03-31,41.85,$4.78,8.76
2023-12-31,37.84,$4.57,8.28
2023-09-30,38.51,$4.91,7.84
2023-06-30,40.58,$3.81,10.65
2023-03-31,39.14,$3.11,12.58
2022-12-31,39.24,$3.19,12.3
2022-09-30,33.97,$2.57,13.22
2022-06-30,34.36,$0.97,35.43
2022-03-31,42.17,$1.64,25.71
2021-12-31,37.6,$1.33,28.27
2021-09-30,35.43,$1.48,23.94
2021-06-30,36.44,$2.45,14.87
2021-03-31,38.41,$2.33,16.49
2020-12-31,30.26,$2.39,12.66
2020-09-30,27.94,$0.36,77.61
2020-06-30,27.82,$-0.52,0.0
2020-03-31,26.84,$-0.49,0.0
2019-12-31,33.76,$-0.72,0.0
2019-09-30,27.21,$0.94,28.95
2019-06-30,30.89,$3.36,9.19
2019-03-31,36.88,$3.28,11.25
2018-12-31,31.27,$3.68,8.5
2018-09-30,37.56,$5.62,6.68
2018-06-30,34.91,$5.56,6.28
2018-03-31,37.84,$5.60,6.76
2017-12-31,42.89,$5.32,8.06
2017-09-30,37.75,$7.99,4.72
2017-06-30,43.86,$7.58,5.79
2017-03-31,41.73,$7.39,5.65
2016-12-31,39.19,$7.29,5.38
2016-09-30,36.32,$2.66,13.65
2016-06-30,39.23,$2.88,13.62
2016-03-31,35.34,$2.78,12.71
2015-12-31,32.53,$2.68,12.14
2015-09-30,30.11,$2.67,11.28
2015-06-30,26.78,$2.60,10.3
2015-03-31,27.1,$2.50,10.84
2014-12-31,26.43,$2.57,10.28
2014-09-30,24.39,$2.18,11.19
2014-06-30,22.0,$2.17,10.14
2014-03-31,19.41,$2.16,8.99
2013-12-31,19.65,$2.26,8.69
2013-09-30,17.36,$2.57,6.75
2013-06-30,17.44,$2.19,7.96
2013-03-31,16.93,$2.16,7.84
2012-12-31,15.28,$1.95,7.84
2012-09-30,16.01,$1.81,8.84
2012-06-30,16.35,$2.06,7.94
2012-03-31,14.43,$1.67,8.64
2011-12-31,13.67,$1.64,8.34
2011-09-30,12.2,$1.67,7.3
2011-06-30,11.83,$1.64,7.21
2011-03-31,11.5,$1.93,5.96
2010-12-31,10.71,$1.87,5.73
2010-09-30,10.29,$1.78,5.78
2010-06-30,8.45,$1.66,5.09
2010-03-31,8.5,$1.65,5.15
2009-12-31,8.0,$1.54,5.19
