Achieve Life Sciences PE Ratio Historical Data,Achieve Life Sciences PE Ratio Historical Data,Achieve Life Sciences PE Ratio Historical Data,Achieve Life Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.75,,0.0
2024-12-31,3.52,$-0.87,0.0
2024-09-30,4.74,$-1.13,0.0
2024-06-30,4.7,$-1.11,0.0
2024-03-31,4.55,$-1.29,0.0
2023-12-31,4.12,$-1.53,0.0
2023-09-30,4.3,$-2.10,0.0
2023-06-30,5.19,$-3.11,0.0
2023-03-31,6.8,$-3.76,0.0
2022-12-31,2.45,$-4.06,0.0
2022-09-30,3.3,$-3.99,0.0
2022-06-30,4.88,$-3.35,0.0
2022-03-31,7.57,$-3.80,0.0
2021-12-31,7.78,$-4.30,0.0
2021-09-30,8.5,$-4.65,0.0
2021-06-30,8.98,$-5.08,0.0
2021-03-31,11.58,$-5.23,0.0
2020-12-31,8.1,$-6.13,0.0
2020-09-30,8.37,$-11.02,0.0
2020-06-30,7.94,$-18.88,0.0
2020-03-31,6.54,$-27.20,0.0
2019-12-31,10.6,$-42.60,0.0
2019-09-30,34.0,$-47.60,0.0
2019-06-30,38.6,$-52.80,0.0
2019-03-31,64.6,$-79.20,0.0
2018-12-31,24.2,$-109.60,0.0
2018-09-30,63.0,$-162.60,0.0
2018-06-30,75.6,$-328.40,0.0
2018-03-31,254.0,$-512.02,0.0
2017-12-31,268.66,$-706.05,0.0
2017-09-30,406.0,"$-1,060.09",0.0
2017-06-30,791.34,"$-1,144.11",0.0
2017-03-31,972.4,"$-1,430.14",0.0
2016-12-31,1099.78,"$-1,452.15",0.0
2016-09-30,1115.4,"$-1,166.12",0.0
2016-06-30,2200.0,"$-1,254.13",0.0
2016-03-31,1503.7,"$-1,320.13",0.0
2015-12-31,2662.0,"$-1,496.15",0.0
2015-09-30,4906.0,"$-1,936.19",0.0
2015-06-30,5126.0,"$-2,090.21",0.0
2015-03-31,4730.0,"$-2,552.26",0.0
2014-12-31,5038.0,"$-3,410.34",0.0
2014-09-30,5874.0,"$-3,828.38",0.0
2014-06-30,8206.0,"$-4,818.48",0.0
2014-03-31,25872.0,"$-5,038.50",0.0
2013-12-31,18348.0,"$-4,752.48",0.0
2013-09-30,20394.0,"$-4,378.44",0.0
2013-06-30,21560.0,"$-3,762.38",0.0
2013-03-31,24926.0,"$-3,146.32",0.0
2012-12-31,28864.0,"$-3,608.36",0.0
2012-09-30,31174.0,"$-5,148.52",0.0
2012-06-30,29568.0,"$-5,258.53",0.0
2012-03-31,29238.0,"$-6,094.61",0.0
2011-12-31,25828.0,"$-5,302.53",0.0
2011-09-30,21560.0,"$-2,464.25",0.0
2011-06-30,37466.0,"$-3,828.38",0.0
2011-03-31,33660.0,"$-2,310.23",0.0
2010-12-31,36938.0,"$-2,684.27",0.0
2010-09-30,32667.8,"$-4,774.48",0.0
2010-06-30,29590.0,"$-3,300.33",0.0
2010-03-31,45166.0,"$-5,148.52",0.0
2009-12-31,49016.0,"$-5,038.50",0.0
