Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,336.03,,31.85
2024-12-31,339.93,$10.55,32.22
2024-09-30,380.95,$10.04,37.94
2024-06-30,297.27,$9.81,30.3
2024-03-31,345.19,$9.38,36.8
2023-12-31,309.29,$9.25,33.44
2023-09-30,252.35,$9.34,27.02
2023-06-30,262.12,$9.01,29.09
2023-03-31,221.32,$8.15,27.16
2022-12-31,233.05,$7.72,30.19
2022-09-30,200.55,$7.39,27.14
2022-06-30,218.79,$6.65,32.9
2022-03-31,243.34,$6.86,35.47
2021-12-31,342.54,$6.96,49.22
2021-09-30,271.63,$7.30,37.23
2021-06-30,264.09,$7.97,33.13
2021-03-31,237.99,$7.71,30.87
2020-12-31,236.41,$7.35,32.15
2020-09-30,223.72,$6.75,33.13
2020-06-30,185.17,$6.25,29.61
2020-03-31,146.91,$5.77,25.46
2019-12-31,186.07,$5.49,33.89
2019-09-30,175.0,$4.96,35.28
2019-06-30,145.86,$4.15,35.17
2019-03-31,136.72,$3.89,35.18
2018-12-31,124.58,$3.89,32.05
2018-09-30,143.84,$6.66,21.6
2018-06-30,128.53,$6.53,19.68
2018-03-31,123.38,$6.23,19.79
2017-12-31,128.74,$6.20,20.75
2017-09-30,112.17,$3.79,29.6
2017-06-30,109.67,$4.04,27.15
2017-03-31,96.68,$4.25,22.75
2016-12-31,83.53,$3.93,21.26
2016-09-30,85.72,$3.92,21.87
2016-06-30,90.73,$3.88,23.36
2016-03-31,87.69,$3.79,23.16
2015-12-31,79.72,$3.72,21.41
2015-09-30,68.24,$3.47,19.65
2015-06-30,84.03,$3.27,25.72
2015-03-31,86.73,$3.01,28.78
2014-12-31,80.0,$2.93,27.27
2014-09-30,66.45,$2.86,23.26
2014-06-30,62.62,$2.59,24.18
2014-03-31,59.5,$2.43,24.48
2013-12-31,55.23,$2.42,22.82
2013-09-30,54.69,$2.41,22.66
2013-06-30,52.85,$2.31,22.88
2013-03-31,50.42,$2.21,22.78
2012-12-31,45.77,$2.16,21.19
2012-09-30,44.2,$1.83,24.11
2012-06-30,39.17,$1.66,23.64
2012-03-31,32.06,$1.49,21.56
2011-12-31,26.23,$1.38,19.01
2011-09-30,21.75,$1.56,13.97
2011-06-30,24.42,$1.52,16.07
2011-03-31,24.35,$1.51,16.09
2010-12-31,24.17,$1.40,17.23
2010-09-30,21.58,$1.37,15.72
2010-06-30,19.77,$1.34,14.72
2010-03-31,19.25,$1.25,15.44
2009-12-31,17.44,$1.25,13.91
