Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data,Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data,Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data,Turkcell Iletisim Hizmetleri AS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.42,,9.44
2024-09-30,6.66,$0.68,9.79
2024-06-30,7.34,$0.43,17.06
2024-03-31,5.02,$0.49,10.25
2023-12-31,4.66,$0.56,8.31
2023-09-30,4.5,$0.92,4.89
2023-06-30,3.39,$0.84,4.04
2023-03-31,4.09,$0.81,5.05
2022-12-31,4.55,$0.71,6.41
2022-09-30,2.53,$0.46,5.5
2022-06-30,2.3,$0.48,4.79
2022-03-31,3.58,$0.54,6.63
2021-06-30,4.08,$0.66,6.19
2021-03-31,3.98,$0.69,5.77
2020-12-31,4.59,$0.68,6.76
2020-09-30,3.99,$0.64,6.23
2020-06-30,4.79,$0.50,9.59
2020-03-31,3.87,$0.45,8.6
2019-12-31,4.83,$0.39,12.38
2019-09-30,4.64,$0.43,10.79
2019-06-30,4.4,$0.43,10.23
2019-03-31,4.27,$0.45,9.49
2018-12-31,4.48,$0.49,9.14
2018-09-30,3.76,$0.37,10.17
2018-06-30,4.98,$0.51,9.76
2018-03-31,7.1,$0.63,11.27
2017-12-31,7.57,$0.63,12.02
2017-09-30,6.35,$0.68,9.34
2017-06-30,5.7,$0.55,10.37
2017-03-31,5.54,$0.48,11.54
2016-12-31,4.61,$0.39,11.83
2016-09-30,5.39,$0.50,10.78
2016-06-30,6.12,$0.73,8.38
2016-03-31,7.03,$0.88,7.99
2015-12-31,5.68,$0.98,5.79
2015-09-30,5.8,$0.98,5.92
2015-06-30,7.68,$1.07,7.18
2015-03-31,7.57,$1.03,7.35
2014-12-31,8.79,$1.06,8.29
2014-09-30,7.64,$1.13,6.76
2014-06-30,9.07,$1.15,7.89
2014-03-31,8.0,$1.20,6.67
2013-12-31,7.76,$1.38,5.62
2013-09-30,8.57,$1.37,6.26
2013-06-30,8.35,$1.32,6.33
2013-03-31,9.67,$1.33,7.27
2012-12-31,9.38,$1.18,7.95
2012-09-30,8.8,$1.10,8.0
2012-06-30,7.3,$1.11,6.57
2012-03-31,7.32,$1.11,6.6
2011-12-31,6.84,$1.15,5.94
2011-09-30,6.56,$1.20,5.46
2011-06-30,7.88,$1.26,6.25
2011-03-31,8.74,$1.24,7.05
2010-12-31,9.96,$1.30,7.66
2010-09-30,9.74,$1.23,7.92
2010-06-30,7.55,$1.19,6.34
2010-03-31,8.39,$1.16,7.23
2009-12-31,9.75,$1.01,9.65
