ONESPAN INC PE Ratio Historical Data,ONESPAN INC PE Ratio Historical Data,ONESPAN INC PE Ratio Historical Data,ONESPAN INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.79,,10.89
2024-12-31,18.54,$1.45,12.79
2024-09-30,16.67,$0.74,22.53
2024-06-30,12.82,$0.43,29.81
2024-03-31,11.63,$-0.18,0.0
2023-12-31,10.72,$-0.74,0.0
2023-09-30,10.75,$-0.83,0.0
2023-06-30,14.84,$-0.91,0.0
2023-03-31,17.5,$-0.70,0.0
2022-12-31,11.19,$-0.36,0.0
2022-09-30,8.61,$-0.63,0.0
2022-06-30,11.9,$-0.47,0.0
2022-03-31,14.44,$-0.41,0.0
2021-12-31,16.93,$-0.77,0.0
2021-09-30,18.78,$-0.46,0.0
2021-06-30,25.54,$-0.48,0.0
2021-03-31,24.5,$-0.36,0.0
2020-12-31,20.68,$-0.13,0.0
2020-09-30,20.96,$0.04,524.0
2020-06-30,27.93,$0.38,73.5
2020-03-31,18.15,$0.37,49.05
2019-12-31,17.12,$0.23,74.43
2019-09-30,14.5,$0.20,72.5
2019-06-30,14.17,$-0.12,0.0
2019-03-31,19.22,$-0.09,0.0
2018-12-31,12.95,$0.09,143.89
2018-09-30,19.05,$-0.66,0.0
2018-06-30,19.65,$-0.57,0.0
2018-03-31,12.95,$-0.54,0.0
2017-12-31,13.9,$-0.57,0.0
2017-09-30,12.05,$0.21,57.38
2017-06-30,14.35,$0.15,95.67
2017-03-31,13.5,$0.22,61.36
2016-12-31,13.65,$0.27,50.56
2016-09-30,17.61,$0.23,76.57
2016-06-30,16.39,$0.50,32.78
2016-03-31,15.4,$0.78,19.74
2015-12-31,16.73,$1.06,15.78
2015-09-30,17.04,$1.27,13.42
2015-06-30,30.19,$1.27,23.77
2015-03-31,21.54,$1.09,19.76
2014-12-31,28.21,$0.84,33.58
2014-09-30,18.78,$0.62,30.29
2014-06-30,11.6,$0.42,27.62
2014-03-31,7.54,$0.30,25.13
2013-12-31,7.73,$0.28,27.61
2013-09-30,7.89,$0.25,31.56
2013-06-30,8.31,$0.29,28.66
2013-03-31,8.44,$0.42,20.1
2012-12-31,8.16,$0.40,20.4
2012-09-30,9.38,$0.63,14.89
2012-06-30,8.18,$0.57,14.35
2012-03-31,10.79,$0.46,23.46
2011-12-31,6.52,$0.47,13.87
2011-09-30,5.11,$0.36,14.19
2011-06-30,12.45,$0.36,34.58
2011-03-31,13.73,$0.32,42.91
2010-12-31,8.13,$0.27,30.11
2010-09-30,6.5,$0.25,26.0
2010-06-30,6.17,$0.23,26.83
2010-03-31,8.25,$0.25,33.0
2009-12-31,6.28,$0.33,19.03
