Princeton Bancorp PE Ratio Historical Data,Princeton Bancorp PE Ratio Historical Data,Princeton Bancorp PE Ratio Historical Data,Princeton Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.21,,18.58
2024-12-31,34.43,$1.68,20.49
2024-09-30,36.98,$1.75,21.13
2024-06-30,33.1,$3.49,9.48
2024-03-31,30.78,$3.76,8.19
2023-12-31,35.9,$4.03,8.91
2023-09-30,28.99,$4.34,6.68
2023-06-30,27.32,$4.24,6.44
2023-03-31,31.72,$4.15,7.64
2022-12-31,31.72,$4.11,7.72
2022-09-30,28.13,$3.90,7.21
2022-06-30,27.01,$3.69,7.32
2022-03-31,28.13,$3.51,8.02
2021-12-31,28.38,$3.30,8.6
2021-09-30,28.73,$2.98,9.64
2021-06-30,27.41,$2.62,10.46
2021-03-31,27.2,$2.27,11.98
2020-12-31,22.15,$2.01,11.02
2020-09-30,17.11,$1.90,9.01
2020-06-30,18.81,$1.92,9.8
2020-03-31,21.66,$1.88,11.52
2019-12-31,29.25,$1.47,19.89
2019-09-30,26.9,$1.53,17.58
2019-06-30,27.74,$1.53,18.13
2019-03-31,29.31,$1.65,17.76
2018-12-31,25.74,$2.14,12.03
2018-09-30,28.15,$1.84,15.3
2018-06-30,30.65,$1.81,16.93
