Avenue Therapeutics PE Ratio Historical Data,Avenue Therapeutics PE Ratio Historical Data,Avenue Therapeutics PE Ratio Historical Data,Avenue Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-18,0.42,,0.02
2024-09-30,2.49,$18.36,0.14
2024-06-30,3.5,$24.79,0.14
2024-03-31,11.06,$-7.88,0.0
2023-12-31,12.08,$-95.49,0.0
2023-09-30,53.03,$-45.11,0.0
2023-06-30,87.75,$-83.46,0.0
2023-03-31,87.38,$-78.18,0.0
2022-12-31,87.0,$-132.99,0.0
2022-09-30,756.0,$-281.83,0.0
2022-06-30,302.96,$-304.36,0.0
2022-03-31,541.69,$-338.18,0.0
2021-12-31,1021.5,$-248.00,0.0
2021-09-30,1676.25,$-259.27,0.0
2021-06-30,2823.75,$-270.54,0.0
2021-03-31,6828.75,$-326.90,0.0
2020-12-31,6693.75,$-349.45,0.0
2020-09-30,12183.75,$-642.54,0.0
2020-06-30,12116.25,$-732.72,0.0
2020-03-31,10057.5,"$-1,093.44",0.0
2019-12-31,10800.0,"$-1,927.61",0.0
2019-09-30,6705.0,"$-1,995.24",0.0
2019-06-30,7087.5,"$-2,119.24",0.0
2019-03-31,5343.75,"$-2,141.79",0.0
2018-12-31,6075.0,"$-2,378.51",0.0
2018-09-30,3172.5,"$-2,660.32",0.0
2018-06-30,4027.5,"$-2,716.69",0.0
2018-03-31,5073.75,"$-2,998.50",0.0
