CbdMD PE Ratio Historical Data,CbdMD PE Ratio Historical Data,CbdMD PE Ratio Historical Data,CbdMD PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.29,,0.0
2024-12-31,0.38,$-1.72,0.0
2024-09-30,0.47,$-2.17,0.0
2024-06-30,0.59,$-11.23,0.0
2024-03-31,0.93,$-12.24,0.0
2023-12-31,1.04,$-12.63,0.0
2023-09-30,1.04,$-15.56,0.0
2023-06-30,1.4,$-17.76,0.0
2023-03-31,8.78,$-41.38,0.0
2022-12-31,10.22,$-44.14,0.0
2022-09-30,10.13,$-56.31,0.0
2022-06-30,19.81,$-46.85,0.0
2022-03-31,46.8,$-21.17,0.0
2021-12-31,48.6,$-27.48,0.0
2021-09-30,93.6,$-19.82,0.0
2021-06-30,130.5,$-25.23,0.0
2021-03-31,186.3,$-34.23,0.0
2020-12-31,132.75,$-5.41,0.0
2020-09-30,90.0,$22.97,3.92
2020-06-30,85.95,$30.18,2.85
2020-03-31,41.85,$-15.32,0.0
2019-12-31,101.7,$-174.33,0.0
2019-09-30,178.2,$-197.30,0.0
2019-06-30,265.5,$-202.25,0.0
2019-03-31,198.9,$-147.30,0.0
2018-12-31,139.05,$1.35,102.89
2018-09-30,163.35,$4.05,40.29
