Deckers Outdoor PE Ratio Historical Data,Deckers Outdoor PE Ratio Historical Data,Deckers Outdoor PE Ratio Historical Data,Deckers Outdoor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,115.67,,18.75
2024-12-31,203.09,$6.17,32.92
2024-09-30,159.45,$5.69,28.04
2024-06-30,161.33,$5.23,30.83
2024-03-31,156.88,$4.88,32.14
2023-12-31,111.41,$4.63,24.04
2023-09-30,85.68,$3.86,22.19
2023-06-30,87.94,$3.36,26.19
2023-03-31,74.93,$3.23,23.17
2022-12-31,66.53,$3.08,21.63
2022-09-30,52.1,$2.73,19.07
2022-06-30,42.56,$2.71,15.71
2022-03-31,45.63,$2.72,16.8
2021-12-31,61.05,$2.50,24.47
2021-09-30,60.03,$2.59,23.18
2021-06-30,64.01,$2.58,24.84
2021-03-31,55.07,$2.25,24.53
2020-12-31,47.8,$2.14,22.3
2020-09-30,36.67,$1.84,19.98
2020-06-30,32.73,$1.69,19.37
2020-03-31,22.33,$1.63,13.74
2019-12-31,28.14,$1.67,16.89
2019-09-30,24.56,$1.59,15.45
2019-06-30,29.33,$1.55,18.9
2019-03-31,24.5,$1.50,16.37
2018-12-31,21.33,$1.47,14.51
2018-09-30,19.76,$0.80,24.55
2018-06-30,18.82,$0.65,29.02
2018-03-31,15.01,$0.60,25.22
2017-12-31,13.38,$0.40,33.16
2017-09-30,11.4,$0.17,68.4
2017-06-30,11.38,$0.11,101.85
2017-03-31,9.96,$0.03,398.2
2016-12-31,9.23,$-0.02,0.0
2016-09-30,9.93,$0.57,17.41
2016-06-30,9.59,$0.55,17.33
2016-03-31,9.99,$0.62,16.06
2015-12-31,7.87,$0.75,10.49
2015-09-30,9.68,$0.70,13.76
2015-06-30,12.0,$0.71,16.81
2015-03-31,12.15,$0.77,15.7
2014-12-31,15.17,$0.75,20.14
2014-09-30,16.2,$0.00,0.0
2014-06-30,14.39,$-0.03,0.0
2014-03-31,13.29,$0.00,0.0
2013-12-31,14.08,$0.02,651.7
2013-09-30,10.99,$0.02,508.64
2013-06-30,8.42,$0.06,140.31
2013-03-31,9.28,$0.11,81.85
2012-12-31,6.71,$0.14,47.37
2012-09-30,6.11,$0.14,43.1
2012-06-30,7.34,$0.21,34.93
2012-03-31,10.51,$0.27,39.42
2011-12-31,12.6,$0.32,39.98
2011-09-30,15.53,$0.32,49.29
2011-06-30,14.69,$0.23,64.35
2011-03-31,14.36,$0.30,48.13
2010-12-31,13.29,$0.29,45.31
2010-09-30,8.33,$0.29,28.39
2010-06-30,7.94,$0.26,30.73
2010-03-31,7.67,$0.23,33.09
2009-12-31,5.65,$0.21,27.34
