Repare Therapeutics PE Ratio Historical Data,Repare Therapeutics PE Ratio Historical Data,Repare Therapeutics PE Ratio Historical Data,Repare Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.12,,0.0
2024-12-31,1.31,$-2.00,0.0
2024-09-30,3.44,$-2.00,0.0
2024-06-30,3.3,$-1.64,0.0
2024-03-31,4.71,$-1.10,0.0
2023-12-31,7.3,$-2.23,0.0
2023-09-30,12.08,$-2.31,0.0
2023-06-30,10.58,$-0.15,0.0
2023-03-31,9.84,$-0.78,0.0
2022-12-31,14.71,$-0.78,0.0
2022-09-30,12.13,$-0.73,0.0
2022-06-30,13.99,$-3.27,0.0
2022-03-31,14.24,$-3.07,0.0
2021-12-31,21.09,$-2.82,0.0
2021-09-30,26.24,$-2.53,0.0
2021-06-30,31.18,$-2.07,0.0
2021-03-31,30.69,$-3.81,0.0
