Hayward Holdings PE Ratio Historical Data,Hayward Holdings PE Ratio Historical Data,Hayward Holdings PE Ratio Historical Data,Hayward Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.23,,26.85
2024-12-31,15.29,$0.53,28.85
2024-09-30,15.34,$0.42,36.52
2024-06-30,12.3,$0.40,30.75
2024-03-31,15.31,$0.36,42.53
2023-12-31,13.6,$0.36,37.78
2023-09-30,14.1,$0.29,48.62
2023-06-30,12.85,$0.34,37.79
2023-03-31,11.72,$0.50,23.44
2022-12-31,9.4,$0.76,12.37
2022-09-30,8.87,$0.95,9.34
2022-06-30,14.39,$1.06,13.58
2022-03-31,16.62,$0.99,16.79
2021-12-31,26.23,$-0.16,0.0
