Color Star Technology PE Ratio Historical Data,Color Star Technology PE Ratio Historical Data,Color Star Technology PE Ratio Historical Data,Color Star Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.92,,0.0
2023-12-31,37.0,"$-10,600.00",0.0
2018-09-30,16600.0,"$-9,800.00",0.0
2018-06-30,22600.0,"$-10,080.00",0.0
2018-03-31,8400.0,"$1,080.00",7.78
2017-12-31,17200.0,"$1,080.00",15.93
2017-09-30,6600.0,"$-8,360.00",0.0
2017-06-30,10000.0,"$-16,760.00",0.0
2017-03-31,11000.0,"$-36,360.00",0.0
2016-12-31,8744.4,"$-41,800.00",0.0
2016-09-30,11760.0,"$-36,360.00",0.0
2016-06-30,10120.0,"$-29,000.00",0.0
2016-03-31,7399.6,"$-14,760.00",0.0
2015-12-31,6065.6,"$-8,040.00",0.0
2015-09-30,11800.0,"$-10,760.00",0.0
2015-06-30,15320.0,"$-8,560.00",0.0
2015-03-31,15440.0,"$-4,040.00",0.0
2014-12-31,17320.0,"$-19,480.00",0.0
2014-09-30,15560.0,"$-28,880.00",0.0
2014-06-30,15920.0,"$-44,760.00",0.0
2014-03-31,20999.6,"$-60,360.00",0.0
2013-12-31,19539.2,"$-70,329.40",0.0
2013-09-30,16520.0,"$-64,613.20",0.0
2013-06-30,15504.0,"$-63,339.00",0.0
2013-03-31,19680.0,"$-62,425.00",0.0
2012-12-31,23520.0,"$-50,415.60",0.0
2012-09-30,20179.2,"$-40,811.80",0.0
2012-06-30,78720.0,"$-18,242.70",0.0
2012-03-31,115680.0,"$15,370.80",7.53
2011-12-31,114240.0,"$36,014.40",3.17
2011-09-30,74400.0,"$44,657.90",1.67
2011-06-30,80640.0,"$45,138.10",1.79
2011-03-31,167040.0,"$45,618.30",3.66
2010-12-31,224640.0,"$43,697.60",5.14
2010-09-30,167040.0,"$59,063.70",2.83
2010-06-30,169920.0,"$29,291.70",5.8
2010-03-31,247200.0,"$29,291.70",8.44
2009-12-31,239040.0,"$28,811.50",8.3
