American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,106.21,,18.97
2024-12-31,92.23,$5.60,16.47
2024-09-30,101.62,$4.99,20.36
2024-06-30,86.12,$5.02,17.16
2024-03-31,83.7,$5.39,15.53
2023-12-31,78.06,$4.25,18.37
2023-09-30,71.48,$4.36,16.39
2023-06-30,79.19,$3.86,20.52
2023-03-31,84.81,$3.87,21.91
2022-12-31,87.68,$4.51,19.44
2022-09-30,79.08,$4.83,16.37
2022-06-30,87.09,$5.09,17.11
2022-03-31,89.86,$5.23,17.18
2021-12-31,79.44,$4.98,15.95
2021-09-30,71.81,$4.79,14.99
2021-06-30,74.21,$4.71,15.76
2021-03-31,73.68,$4.60,16.02
2020-12-31,71.77,$4.44,16.16
2020-09-30,69.87,$3.87,18.05
2020-06-30,67.54,$3.85,17.54
2020-03-31,67.23,$3.73,18.02
2019-12-31,78.89,$3.89,20.28
2019-09-30,77.6,$4.32,17.96
2019-06-30,72.35,$4.00,18.09
2019-03-31,68.3,$4.14,16.5
2018-12-31,60.44,$3.90,15.5
2018-09-30,56.81,$3.97,14.31
2018-06-30,55.02,$3.90,14.11
2018-03-31,53.99,$3.59,15.04
2017-12-31,57.35,$3.87,14.82
2017-09-30,54.31,$3.82,14.22
2017-06-30,53.27,$1.16,45.92
2017-03-31,51.03,$1.42,35.94
2016-12-31,47.43,$1.24,38.25
2016-09-30,47.92,$1.44,33.28
2016-06-30,51.88,$4.06,12.78
2016-03-31,48.72,$3.92,12.43
2015-12-31,42.38,$4.19,10.11
2015-09-30,40.93,$3.62,11.31
2015-06-30,37.77,$3.57,10.58
2015-03-31,39.73,$3.49,11.38
2014-12-31,42.5,$3.35,12.69
2014-09-30,36.21,$3.67,9.87
2014-06-30,38.29,$3.55,10.79
2014-03-31,34.46,$3.44,10.02
2013-12-31,31.47,$3.04,10.35
2013-09-30,28.88,$2.38,12.13
2013-06-30,29.51,$2.49,11.85
2013-03-31,31.74,$2.55,12.45
2012-12-31,27.56,$2.60,10.6
2012-09-30,28.06,$3.19,8.8
2012-06-30,25.2,$4.12,6.12
2012-03-31,24.07,$4.10,5.87
2011-12-31,25.47,$4.03,6.32
2011-09-30,23.17,$3.76,6.16
2011-06-30,22.65,$2.99,7.58
2011-03-31,20.86,$2.54,8.21
2010-12-31,21.09,$2.53,8.34
2010-09-30,20.97,$2.66,7.88
2010-06-30,18.48,$2.43,7.61
2010-03-31,19.31,$2.82,6.85
2009-12-31,19.41,$2.99,6.49
